,TranslatedIngredients
4338,"cup Gram flour (besan),/ cup Curd (Dahi / Yogurt),cups Water,/ teaspoon Green Chilli,teaspoon Ginger,/ teaspoon Turmeric powder (Haldi),Salt,tablespoon Sunflower Oil,teaspoon Cumin seeds (Jeera),Asafoetida (hing),Sunflower Oil,teaspoon Cumin seeds (Jeera),Dry Red Chillies,grams Curd (Dahi / Yogurt),/ teaspoon Green Chillies,teaspoon Red Chilli powder,/ teaspoon Turmeric powder (Haldi),Salt"
4339,"cups All Purpose Flour (Maida),teaspoon Salt,teaspoon Sugar,/ teaspoon Baking powder,/ cup Butter (unsalted),/ cup Chilled water,cup Britannia Cream Cheese,/ cup Guava,/ cup Mixed nuts,/ cup Caster Sugar"
4340,"/ cup lentils,/ cup green peas,onion,tomato,/ inch ginger,cloves garlic,green chillies,/ teaspoon turmeric powder,salt,tsp rye,/ tsp fenugreek seeds,/ tsp cumin seeds,/ tsp fennel seeds,/ tsp fennel,/ tsp Kalonji seeds,tsp garam masala powder,tsp mustard oil,asafoetida"
4341,"Idli,Pearl onions (Sambar Onions),Green Chillies,inch Ginger,/ teaspoon Turmeric powder (Haldi),/ teaspoon Mustard seeds,teaspoon White Urad Dal (Split),Curry leaves,tablespoon Figaro Pure Olive Oil,sprig Coriander (Dhania) Leaves,Salt"
4342,"cup All Purpose Flour (Maida),tablespoon Sunflower Oil,Salt,Onions,/ cup Tofu,/ cup Sweet corn,Garlic,inch Ginger,sprig Spring Onion (Bulb & Greens),tablespoon Soy sauce,tablespoon Chilli vinegar,Salt"
4343,"Brinjal (Baingan / Eggplant),/ cup Cheddar cheese,/ cup Whole Wheat Bread crumbs,grams Button mushrooms,cloves Garlic,cup Homemade tomato puree,/ teaspoon Cumin powder (Jeera),Salt,Black pepper powder,sprig Parsley leaves,tablespoons Whole Wheat Flour,/ cups Milk,/ cup Britannia Cream Cheese,Salt,Black pepper powder"
4344,"grams Prawns,cup Coconut milk,teaspoon Tamarind Paste,sprig Curry leaves,/ teaspoon Mustard seeds,/ teaspoon Methi Seeds (Fenugreek Seeds),Dry Red Chillies,Pearl onions (Sambar Onions),teaspoon Turmeric powder (Haldi),teaspoon Kashmiri Red Chilli Powder,Salt,teaspoon Lemon juice,teaspoon Mustard oil,/ cup Fresh coconut,teaspoon Ginger,teaspoon Garlic,Green Chillies,/ teaspoon Turmeric powder (Haldi),/ teaspoon Cumin powder (Jeera),teaspoon Coriander Powder (Dhania)"
4345,"grams Soba noodles,cups Red cabbage,cups Red Yellow or Green Bell Pepper (Capsicum),/ cup Spring Onion (Bulb & Greens),cup Carrots (Gajjar),/ cup Coriander (Dhania) Leaves,tablespoons Basil leaves,tablespoons Mint Leaves (Pudina),tablespoon Sesame seeds (Til seeds),tablespoons Peanut Butter,inch Ginger,tablespoon Honey,tablespoon Soy sauce,tablespoon Rice Vinegar,teaspoon Sesame (Gingelly) Oil,tablespoon Sriracha sauce,Salt,Black pepper powder,Red Chilli flakes,tablespoons Lemon juice"
4346,"cup Masoor Dal (Whole),Onion,Tomato,cloves Garlic,inch Ginger,Bay leaf (tej patta),Cloves (Laung),teaspoon Cumin seeds (Jeera),Cinnamon Stick (Dalchini),teaspoon Garam masala powder,teaspoon Red Chilli powder,teaspoon Coriander Powder (Dhania),tablespoons Ghee,teaspoon Fresh cream,Salt"
4347,"cup cowpea,onions,tomatoes,green chili,tablespoon ginger garlic paste,teaspoon cumin seeds,inch cinnamon,bay leaf,cloves,teaspoon red chilli Powder,/ teaspoon turmeric powder,teaspoons cumin powder,teaspoons coriander powder,teaspoon garam masala powder,tablespoon kasoori methi,inch ginger,tablespoon ghee,salt - Salt"
4348,"tablespoon Sunflower Oil,/ teaspoon Methi Seeds (Fenugreek Seeds),/ teaspoon Cumin seeds (Jeera),pinch Asafoetida (hing),Onion,cloves Garlic,inch Ginger,Green Chillies,Tomatoes,Potatoes (Aloo),/ teaspoon Turmeric powder (Haldi),teaspoon Garam masala powder,Red Chilli powder,Salt,Coriander (Dhania) Leaves"
4349,"cup Rajma (Large Kidney Beans),/ cup Horse Gram Dal (Kollu/ Kulith),Onion,Green Chilli,teaspoon Cumin seeds (Jeera),teaspoon Coriander Powder (Dhania),teaspoon Red Chilli powder,teaspoon Amchur (Dry Mango Powder),teaspoon Garam masala powder,teaspoon Black pepper powder,Salt,cup Whole Wheat Flour,tablespoon Sunflower Oil,Water"
4350,"grams Chicken breasts,tablespoons Onion,/ tablespoon Ginger Garlic Paste,ml Hung Curd (Greek Yogurt),ml Fresh cream,teaspoon Red Chilli powder,teaspoon Cumin powder (Jeera),Salt,Sunflower Oil"
4351,"Cauliflower (gobi),Onion,inch Ginger,cloves Garlic,Tomatoes,teaspoon Turmeric powder (Haldi),teaspoon Coriander Powder (Dhania),teaspoon Garam masala powder,/ teaspoon Red Chilli powder,Salt,sprig Coriander (Dhania) Leaves,/ cup Fresh cream,Sunflower Oil"
4352,"Prawns,Onions,/ teaspoon Turmeric powder (Haldi),Tomato,cloves Garlic,teaspoon Ginger,teaspoon Tamarind Paste,/ teaspoon Mustard seeds,teaspoon Fresh coconut,sprig Curry leaves,teaspoon Red Chilli powder,Cardamom (Elaichi) Pods/Seeds,teaspoon Sunflower Oil,cup Water,Salt"
4353,"Cup White Urad Dal (Split),pinch Asafoetida (hing),Green Chillies,inch Ginger,Salt,Tablespoons Extra Virgin Olive Oil"
4354,"cups Poha (Flattened rice),/ cup Red khara sev,/ cup Boondi,/ cups Roasted Peanuts (Moongphali),/ cup Chana dal (Bengal Gram Dal),Curry leaves,/ teaspoon Turmeric powder (Haldi),/ teaspoon Asafoetida (hing),/ teaspoon Red Chilli powder,Salt,Sunflower Oil"
4355,"Bhindi (Lady Finger/Okra) - de,tablespoons Sunflower Oil,cup Curd (Dahi / Yogurt),tablespoons Gram flour (besan),/ teaspoon Turmeric powder (Haldi),teaspoon Coriander Powder (Dhania),/ teaspoon Red Chilli powder,Salt,/ teaspoon Cumin seeds (Jeera),Dry Red Chillies,inch Cinnamon Stick (Dalchini),tablespoon Ghee"
4356,"cups Water,/ cup Milk,tablespoons Loose leaf tea,inch Ginger,Sugar"
4357,"cup White Urad Dal (Whole),cup Chana dal (Bengal Gram Dal),cup Arhar dal (Split Toor Dal),/ cup Yellow Moong Dal (Split),teaspoons Horse Gram Dal (Kollu/ Kulith),teaspoon Rice,teaspoon Broken Wheat (Dalia/ Godumai Rava),teaspoon Methi Seeds (Fenugreek Seeds),teaspoons Coriander (Dhania) Seeds,teaspoon Cumin seeds (Jeera),/ teaspoon Whole Black Peppercorns,Dry Red Chillies,/ cup Curry leaves,teaspoon Turmeric powder (Haldi),/ teaspoon Asafoetida (hing)"
4358,"uncooked bananas,/ cup peanuts,curry leaves,green chillies,tbsp of casmis,cashews,almonds,/ tsp red chilli powder,tsp castor sugar,tsp Spoon Chaat Masala Powder,salt,oil"
4359,"/ cups Whole Wheat Flour,teaspoon Baking powder,/ teaspoon Baking soda,/ teaspoon Cinnamon Powder (Dalchini),/ teaspoon Salt,/ cup Sugar,Whole Eggs,Ripe Bananas,/ cup Sunflower Oil,/ cup Milk,/ cup Butterscotch Chips,/ teaspoon Vanilla Extract"
4360,"cup Green beans (French Beans),cup Tofu,Onion,teaspoon Turmeric powder (Haldi),teaspoon Mustard seeds,sprig Curry leaves,teaspoon Panch Phoran Masala,Salt,Sunflower Oil"
4361,"cup Poha (Flattened rice),Salt,teaspoon Sugar,teaspoon Lemon juice,teaspoon Sunflower Oil,/ teaspoon Mustard seeds,Green Chillies,Curry leaves,/ cup Potato (Aloo),/ cup Onion,teaspoon Turmeric powder (Haldi),Coriander (Dhania) Leaves,/ cup Raw Peanuts (Moongphali),/ teaspoon Sunflower Oil,Salt,/ teaspoon Chaat Masala Powder,/ teaspoon Black pepper powder,/ teaspoon Cumin powder (Jeera),/ teaspoon Red Chilli powder,cup Green Moong Sprouts,/ cup Onion,/ cup Tomato,teaspoon Lemon juice,teaspoon Coriander (Dhania) Leaves,Salt,Black pepper powder,Carrot (Gajjar),cup Fresh coconut,Salt,/ teaspoon Sugar,teaspoon Lemon juice,Green Chilli"
4362,"grams Button mushrooms,Onions,cloves Garlic,inch Ginger,Green Chillies,tablespoon Sesame seeds (Til seeds),teaspoon Poppy seeds,Badam (Almond),Cashew nuts,/ teaspoon Black pepper powder,Sunflower Oil,teaspoon Garam masala powder,Coriander (Dhania) Leaves,Salt"
4363,"cups cabbage,teaspoon oil,capsicum (green),teaspoon mustard,teaspoon cumin seeds,dry red chillies,asafetida,/  tsp turmeric powder,tsp coriander powder,/ tsp red chilli powder,salt,tsp lemon juice"
4364,"Basa fish,/ cup All Purpose Flour (Maida),tablespoon Salt,tablespoon Black pepper powder,Whole Egg,/ cup Milk,/ cup Whole Wheat Bread crumbs,tablespoon Red Chilli powder,tablespoon Red Chilli flakes,tablespoon Garlic powder,teaspoon Dry ginger powder,/ teaspoon Cinnamon Powder (Dalchini),teaspoon Dried oregano"
4365,"grams Rajma (Large Kidney Beans),Onions,cloves Garlic,inch Ginger,Green Chillies,sprig Coriander (Dhania) Leaves,teaspoons Cumin powder (Jeera),teaspoons Coriander Powder (Dhania),teaspoon Amchur (Dry Mango Powder),teaspoon Red Chilli powder,teaspoon Garam masala powder,tablespoon Roasted Gram Flour (Sattu Ka Atta),teaspoon Sugar,Salt,Sunflower Oil,tablespoons Khoya (Mawa)"
4366,"teaspoon Ghee,tablespoon Gond (Edible Gum),tablespoon Jaggery,Badam (Almond)"
4367,"grams Rice Noodles (Flat),/ cup Baby corn,/ cup Red Bell pepper (Capsicum),/ cup Yellow Bell Pepper (Capsicum),/ cup Green Bell Pepper (Capsicum),/ cup Thai basil leaves,/ cup Spring Onion (Bulb & Greens),cloves Garlic,inch Ginger,/ tablespoon Brown Sugar (Demerara Sugar),/ tablespoon Honey,tablespoon Soy sauce,tablespoon Fish sauce,tablespoon Sriracha sauce"
4368,"grams Sun Dried Tomatoes,sprig Basil leaves,cloves Garlic,tablespoons Badam (Almond),tablespoons Parmigiano reggiano cheese,/ cup Extra Virgin Olive Oil,tablespoon Whole Black Peppercorns,Salt"
4369,"grams Ridge Gourd (Turai/ Peerkangai),tablespoon Gram flour (besan),/ teaspoon Sugar,/ teaspoon Turmeric powder (Haldi),Green Chillies,/ cup Curd (Dahi / Yogurt),Tomatoes,Bay leaf (tej patta),teaspoon Kalonji (Onion Nigella Seeds),/ teaspoon Sunflower Oil,Salt,teaspoon Ghee,/ teaspoon Cumin seeds (Jeera),Dry Red Chilli,inch Cinnamon Stick (Dalchini)"
4370,"cup Whole Wheat Flour,cup Curd (Dahi / Yogurt),/ cup Carrot (Gajjar),/ cup Caster Sugar,/ cup Sunflower Oil,tablespoon Badam (Almond),teaspoon Vanilla Extract,/ teaspoon Baking powder,/ teaspoon Baking soda,Salt"
4371,"Karela (Bitter Gourd/ Pavakkai),Ginger,teaspoons Lemon juice,/ teaspoon Turmeric powder (Haldi),/ teaspoon Black Salt (Kala Namak),pinch Salt,Honey,Black pepper powder,Mint Leaves (Pudina)"
4372,"Whole Wheat Brown Bread,tablespoon Butter,Carrot (Gajjar),Red Bell pepper (Capsicum),/ cup Instant Oats (Oatmeal),tablespoon Classic Mayonnaise (With Egg),teaspoon Red Chilli flakes,teaspoon Dried oregano,Salt and Pepper"
4373,"kg Chicken,Badam (Almond),Onions,tablespoons Ginger Garlic Paste,teaspoons Red Chilli powder,Dry Red Chillies,/ teaspoon Turmeric powder (Haldi),Salt,tablespoon Poppy seeds,Cinnamon Stick (Dalchini),Cloves (Laung),Bay leaf (tej patta),tablespoon Cardamom Powder (Elaichi),teaspoon White pepper powder,/ teaspoon Cumin seeds (Jeera),cup Curd (Dahi / Yogurt),tablespoons Ghee,tablespoon Fresh cream,Coriander (Dhania) Leaves"
4374,"teaspoon Mustard seeds,teaspoon White Urad Dal (Split),sprig Curry leaves,Banana Stem,Dry Red Chillies,grams Tamarind,/ teaspoon Turmeric powder (Haldi),tablespoon Kasuri Methi (Dried Fenugreek Leaves),Salt,/ teaspoon Asafoetida (hing),teaspoon Mustard seeds,teaspoon White Urad Dal (Split),sprig Curry leaves,Dry Red Chilli,Sunflower Oil"
4375,"Cup Roasted Peanuts (Moongphali),Cup Dry Red Chillies,/ Tablespoon Cumin seeds (Jeera),/ Tablespoon Tamarind,Salt,cloves Garlic,teaspoon Sunflower Oil"
4376,"cup Curd (Dahi / Yogurt),teaspoon Cumin powder (Jeera),teaspoon Black pepper powder,teaspoon Chaat Masala Powder,Red Chilli powder,Salt,Dates,/ cup Gram flour (besan),tablespoons All Purpose Flour (Maida),Salt,pinch Cooking soda"
4377,"cups Rice,Onion,inch Ginger,cloves Garlic,Tomatoes,cups Methi Leaves (Fenugreek Leaves),teaspoon Red Chilli powder,teaspoon Coriander Powder (Dhania),teaspoon Garam masala powder,Cinnamon Stick (Dalchini),Cloves (Laung),Cardamom (Elaichi) Pods/Seeds,tablespoons Ghee,Salt"
4378,"Carrot (Gajjar),Green beans (French Beans),Salt,/ teaspoon Butter,/ teaspoon Mustard seeds,pinch Asafoetida (hing)"
4379,"eggplant,onions,tomatoes,cloves garlic,/ teaspoon turmeric powder,teaspoon red chili powder,/ teaspoon cumin powder,/ small Tablespoon cinnamon powder,/ teaspoon black pepper powder,/ cup water,tablespoons oil,salt"
4380,"Ripe Bananas,Avocados,grams Dark chocolate,/ cup Cocoa Powder,tablespoons Instant Coffee Powder,tablespoons Sugar,ml Coconut milk,teaspoon Vanilla Extract,tablespoons Icing Sugar,Chocolate Shavings,Decorative sugar (Cake/ Candy Sprinkles)"
4381,"cup Broken Wheat (Dalia/ Godumai Rava),Water,Onion,Carrot (Gajjar),Green beans (French Beans),Green Chillies,/ teaspoon Turmeric powder (Haldi),/ teaspoon Cumin seeds (Jeera),Salt,/ teaspoon Garam masala powder,teaspoon Red Chilli powder,Tomatoes,teaspoon Ginger Garlic Paste,Bay leaf (tej patta),teaspoon Red Chilli powder,Tomatoes,teaspoon Ginger Garlic Paste,Coriander (Dhania) Leaves"
4382,"cup All Purpose Flour (Maida),/ cup Sugar,/ cup Salted butter,/ cup Milk,/ tablespoon Baking powder,/ teaspoon Baking soda,/ tablespoon Vanilla Extract,/ cup Sunflower Oil,cups Dark chocolate,cups White Chocolate,Decorative sugar (Cake/ Candy Sprinkles)"
4383,"/ cup Paneer (Homemade Cottage Cheese),/ cup Del Monte Mint Mayo,Tomatoes,Onion,Green Bell Pepper (Capsicum),teaspoon Extra Virgin Olive Oil,teaspoon Whole Black Peppercorns,Salt"
4384,"grams of chicken,onions,tomato,green chillies,inch ginger,cloves garlic,/ tsp turmeric powder,tsp garam masala powder,tbsp sesame oil,salt,/ tsp fenugreek seeds,tbsp coriander seeds,dry red chillies,tsp fennel seeds,tsp sesame seeds Oil,cloves garlic,cups gongura,salt"
4385,"Tomatoes,Green Chillies,Curry leaves,teaspoons Jaggery,/ teaspoon Turmeric powder (Haldi),teaspoon Sunflower Oil,teaspoon Mustard seeds,/ teaspoon Cumin seeds (Jeera),/ teaspoon Asafoetida (hing),Salt"
4386,"cup Cooked rice,Fresh Red Chilli,Green Chilli,cloves Garlic,inch Ginger,grams Chicken breasts,Shallots,Button mushrooms,/ Red Bell pepper (Capsicum),Carrot (Gajjar),/ cup Cabbage (Patta Gobi/ Muttaikose),/ cup Bean Sprouts,/ teaspoon Whole Black Peppercorns,tablespoon Red Chilli sauce,tablespoon Soy sauce,sprig Spring Onion Greens,Salt"
4387,"Salt,cup of arhar dal,/ tsp turmeric powder,onion,tomato,tbsp ghee,sprig of green coriander,green chilli,inch ginger,buds Garlic,tsp cumin seeds,tbsp coriander seeds,dry red chilies,/ inch lentil sugar,long,whole black peppers,tsp khus khus,tsp ghee,/ tsp cumin"
4388,"Carrots (Gajjar),tablespoons Pimiento-stuffed green olives,/ cup Spinach Leaves (Palak),/ cup Walnuts,clove Garlic,teaspoon Chia Seeds,/ teaspoon Dried basil leaves,/ teaspoon Black pepper powder,tablespoons Britannia Cream Cheese,Salt,tablespoon Extra Virgin Olive Oil"
4389,"cup All Purpose Flour (Maida),teaspoon Baking powder,Salt,/ teaspoon Sugar,/ cup Milk,/ cup Hung Curd (Greek Yogurt),tablespoon Ghee,Lukewarm Water,Blanched tomatoes,cloves Garlic,/ teaspoon Red Chilli flakes,/ teaspoon Dry mix herbs,Basil leaves,/ teaspoon Butter,Salt,/ cup Mozzarella cheese,cup Red Yellow and Green Bell Peppers (Capsicum),grams Paneer (Homemade Cottage Cheese),Onion,/ teaspoon Red Chilli flakes,/ teaspoon Italian seasoning,tablespoon Butter"
4390,"Whole Wheat Brown Bread,Whole Eggs,cup Spinach Leaves (Palak),Tomato,Whole Black Peppercorns,Salt,Sunflower Oil,Butter"
4391,"Kandathipli,Arisithipli,tablespoon Chana dal (Bengal Gram Dal),teaspoon Cumin seeds (Jeera),/ teaspoon Whole Black Peppercorns,teaspoon Ajwain (Carom seeds),Curry leaves,/ teaspoon Asafoetida (hing),Salt,Tamarind,cup Water,/ teaspoon Turmeric powder (Haldi),teaspoon Coriander (Dhania) Leaves,teaspoons Ghee,teaspoon Mustard seeds,teaspoon Cumin seeds (Jeera),Dry Red Chilli"
4392,"ml Red wine,/ cup Strawberry Vodka,/ cup Pomegranate juice,/ cup Apple juice,tablespoon Ginger Juice,/ cup Lemon juice,/ cup Ginger Ale,/ cup Sugar syrup,cups Ice cubes,/ cup Strawberries,/ cup Mint Leaves (Pudina),Lemon,Orange"
4393,"Hakka Noodles,Onions,inch Ginger,Carrot,Capsicum (green),cup Cabbage,/ cup green beans,sprig green onions,/ tsp soy sauce,tsp red chilli sauce,/ tsp chilli vinegar,/ tsp black pepper powder,salt"
4394,"grams cheese,/ cup cream,tablespoons milk,/ teaspoon turmeric powder,teaspoon garam masala powder,teaspoons whole pepper,salt,oil - as per use  onion,/ cup cashews,cloves garlic,inch ginger,cloves garlic,tablespoons oil,black pepper powder"
4395,"carrots,cup fenugreek,onion,teaspoon cumin,asafetida,teaspoon red chili powder,/  teaspoon coriander powder,/ teaspoon turmeric powder,teaspoon mango powder,Salt,as per taste"
4396,"liter Milk,/ cup Sugar,teaspoon Cardamom Powder (Elaichi),Saffron strands,teaspoon Rose water,/ cup Sugar,/ cup Water,/ teaspoon Cardamom Powder (Elaichi),tablespoon Rose water,Whole Wheat Brown Bread,Ghee,tablespoons Badam (Almond),tablespoons Pistachios"
4397,"grams Button mushrooms,Green Bell Pepper (Capsicum),cup Pineapple,Onion,tablespoons Gram flour (besan),/ cup Curd (Dahi / Yogurt),teaspoon Ginger Garlic Paste,/ teaspoon Turmeric powder (Haldi),teaspoon Red Chilli powder,tablespoon Tandoori masala,teaspoon Kasuri Methi (Dried Fenugreek Leaves),teaspoon Lemon juice,Salt,tablespoons Sunflower Oil"
4398,"grams Button Mushroom,tbsp curd,/ tsp turmeric powder,tbsp lemon juice,dry red chillies,tsp whole black pepper,bud long,tsp fenugreek seeds,tsp coriander seeds,tsp cumin,cloves garlic,tbsp tamarind paste,tbsp ghee,sprig curry leaves,tsp jaggery,salt"
4399,"cup Whole Wheat Flour,/ cup All Purpose Flour (Maida),/ cup Butter (unsalted),tablespoons Active dry yeast,tablespoons Sugar,Salt,cup Kaddu (Parangikai/ Pumpkin),Onion,cloves Garlic,tablespoon Fresh cream,teaspoon Nutmeg powder,teaspoon Red Chilli flakes,sprig Fresh Thyme leaves,tablespoons Milk,tablespoons Cheese,Salt"
4400,"teaspoon oil,cloves garlic,onion,capsicum (green),carrot,grams baby corn,salt  g Paneer as per taste,tsp chaat masala powder,tsp achari mayo,tava paratha,cucumber,tomato,tbsp achari mayo"
4401,"cup Instant Oats (Oatmeal),/ cup Green peas (Matar),cup Spinach,Green Chilli,/ cup Coriander (Dhania) Leaves,inch Ginger,Salt,/ teaspoon Whole Black Peppercorns,teaspoon Dried oregano,Lemon,Sunflower Oil"
4402,"cup Spinach Leaves (Palak),Fresh Figs,Cherry tomatoes,Cucumber,grams Feta Cheese,/ cup Red Wine Vinaigrette,teaspoon Dijon Mustard,/ cup Extra Virgin Olive Oil,Salt and Pepper"
4403,"/ cup Pineapple,/ cup sugar,cups yogurt,saffron,/ cup cream,salt,ice"
4404,"Whole Eggs,tablespoons Onion,tablespoons Tomato,tablespoons Cheese,Green Chillies,Coriander (Dhania) Leaves,Salt,teaspoon Sunflower Oil"
4405,"/ cup sweet potato,/ cup onion,tablespoon dry coconut,cup bitter gourd,tablespoons tamarind water,red chillies,sesame oil,teaspoon turmeric powder,/  tablespoon sambar powder,teaspoon coriander powder,salt,teaspoon mustard seeds,teaspoon fenugreek seeds,teaspoons chickpea lentils,/  teaspoon Asafoetida,curry leaves,water"
4406,"cups Cucumber,/ cup Kala Chana (Brown Chickpeas),cup Fresh coconut,Dry Red Chillies,Tamarind,teaspoon Coriander (Dhania) Seeds,/ teaspoon Turmeric powder (Haldi),Whole Black Peppercorns,/ teaspoon Sugar,Salt"
4407,"cups All Purpose Flour (Maida),grams Butter (unsalted),/ cup Caster Sugar,Whole Eggs,/ teaspoon Baking powder,pinch Salt,teaspoon Vanilla Extract,tablespoon Milk,Fresh Figs"
4408,"gm Chhedar Cheese,tablespoons butter,cup all purpose flour (All Purpose Flour),salt,tablespoon paprika powder,tablespoons water"
4409,"/ cup Gram flour (besan),Onions,Garlic,Green Chilli,sprig Coriander (Dhania) Leaves,teaspoon Mustard seeds,/ teaspoon Cumin seeds (Jeera),teaspoon Red Chilli powder,Sunflower Oil,Salt,cup Water"
4410,"cup chana dal,cup spinach,onion,green chillies,cloves garlic,inch ginger,teaspoon cumin seeds,salt,as per taste"
4411,"cup chana dal,/ cup fenugreek seeds,water,/ teaspoon mustard seeds,/ teaspoon asafoetida,/ teaspoon asafoetida,curry leaves,teaspoon red chilli powder,/ teaspoon turmeric powder,/ teaspoon mango powder,/ teaspoon coriander powder,salt,oil"
4412,"grams Chicken,teaspoon Red Chilli powder,/ teaspoon Turmeric powder (Haldi),Salt,Sunflower Oil,Onions,tablespoons Fresh coconut,cloves Garlic,inch Ginger,inch Cinnamon Stick (Dalchini),Cloves (Laung),Dry Red Chilli,tablespoon Poppy seeds"
4413,"grams Chow Chow,/ cup yellow moong dal,/ tsp turmeric powder,/ cup coconut,dry red chillies,tsp cumin,curry leaves,salt,sprig curry leaves,/ tsp rye,tsp oil,tsp white urad dal,tsp chana dal"
4414,"Bottle gourd (lauki),Onion,Garlic,Tomato,teaspoon Cumin seeds (Jeera),teaspoon Turmeric powder (Haldi),/ teaspoon Red Chilli powder,sprig Curry leaves,Coriander (Dhania) Leaves,Sunflower Oil,Salt"
4415,"carrots,/ cup green coriander,tablespoons gram flour,green chili,salt,oil"
4416,"Ripe Bananas,/ cup Almond Milk (Badam Milk),/ cup Tender coconut water,Flax seed powder (flax meal),/ teaspoon Salt,Ripe Bananas,teaspoon Cinnamon Powder (Dalchini),teaspoon Vanilla Extract,teaspoons Baking powder,/ teaspoon Baking soda,/ cup Coconut Oil,/ cup Date syrup,/ teaspoon Apple cider vinegar,cup Buckwheat Flour (Kuttu Ka Atta),/ cup Rolled Oats,cup Badam (Almond),grams Dark chocolate"
4417,"Whole Wheat Brown Bread,Onion,tablespoon Classic Mayonnaise (With Egg),tablespoon Parmesan cheese,tablespoon Butter,teaspoon Italian seasoning"
4418,"grams Vellai Poosanikai (Ash gourd/White Pumpkin),/ cup Tamarind Water,cups Curd (Dahi / Yogurt),Salt,teaspoons White Urad Dal (Split),/ teaspoon Methi Seeds (Fenugreek Seeds),Dry Red Chillies,teaspoon Cumin seeds (Jeera),cup Fresh coconut,teaspoon Coconut Oil,/ teaspoon Mustard seeds,teaspoon White Urad Dal (Split),sprig Curry leaves"
4419,"grams Amla (Nellikai/ Gooseberry),Water,tablespoon Sunflower Oil,/ teaspoon Cumin seeds (Jeera),/ teaspoon Fennel seeds (Saunf),/ teaspoon Ajwain (Carom seeds),Asafoetida (hing),Green Chillies,inch Ginger,cloves Garlic,Onions,Tomatoes,Salt,/ teaspoon Turmeric powder (Haldi),grams Methi Leaves (Fenugreek Leaves),teaspoon Garam masala powder,teaspoon Coriander Powder (Dhania),teaspoon Cumin powder (Jeera),sprig Coriander (Dhania) Leaves"
4420,"Ridge Gourd (Turai/ Peerkangai),Whole Eggs,Onion,/ teaspoon Cumin seeds (Jeera),/ teaspoon Mustard seeds,/ teaspoon White Urad Dal (Split),/ teaspoon Black pepper powder,tablespoon Sunflower Oil,Salt,Curry leaves"
4422,"Beetroot,Onion,  Cherry tomatoes,Iceberg lettuce,Rocket leaves,grams Feta Cheese,tablespoon Melon seeds,/ cup Extra Virgin Olive Oil,Salt and Pepper,teaspoon Za'atar,tablespoon Red Wine Vinaigrette"
4424,"Marie Biscuit,tablespoons Butter,tablespoons Sugar,cup Blueberries,/ cup Blueberry Jam,cup Heavy whipping cream,teaspoon Vanilla Extract"
4425,"cup pigeonpea,green chillies,cloves garlic,tomato,onion,tbsp tamarind paste,/ tsp turmeric powder,salt,tbsp ghee,curry leaves,tsp rye,asafoetida"
4427,"cups Paneer,teaspoon Kasuri Methi,teaspoon Red Chilli Powder,/ teaspoon Turmeric Powder,Salt,Oil,/ teaspoon Cumin seeds,/ teaspoon Teaspoon celery,/ cup onion,teaspoons garlic,teaspoon coriander powder,cup tomato puree,/ teaspoon royal cumin,tablespoons cream,Teaspoon Green Chilli,/ teaspoon garam masala powder"
4428,"Oil,/ cup save,/ teaspoon mustard,/ teaspoon cumin seeds,asafetida,tablespoon ginger garlic paste,green chillies,onions,tomatoes,/ teaspoon turmeric powder,/ teaspoon red chilli powder,/ teaspoon Kashmiri red chilli powder,teaspoon coriander powder,salt,teaspoon lemon juice,water,sprig of green coriander"
4429,"grams Pasta,cloves Cloves (Laung),/ teaspoon Red Chilli flakes,Salt,sprig Parsley leaves,tablespoon Extra Virgin Olive Oil"
4430,"/ cup arhar dal,green chilli,/ cup coconut,tsp cumin seeds,/ tsp turmeric powder,salt,tbsp ghee,/  teaspoon asafoetida,teaspoon cumin seeds"
4431,"Sweet Potato,Potatoes (Aloo),Carrot (Gajjar),cups Avarekai (Broad Beans),cups Methi Leaves (Fenugreek Leaves),Green Chillies,/ cup Water,tablespoons Sesame seeds (Til seeds),/ cup Fresh coconut,tablespoon Jaggery,Salt,/ teaspoon Turmeric powder (Haldi),tablespoon Sunflower Oil,teaspoon Mustard seeds,teaspoon Cumin seeds (Jeera),sprig Curry leaves"
4433,"Whole Wheat Brown Bread,cup Britannia Cream Cheese,/ cup Milk,/ cup Kaddu (Parangikai/ Pumpkin),tablespoons Sugar,teaspoon Nutmeg powder,/ teaspoon Cinnamon Powder (Dalchini),teaspoon Vanilla Extract,/ cup All Purpose Flour (Maida),/ cup Brown Sugar (Demerara Sugar),/ teaspoon Cinnamon Powder (Dalchini),/ Butter (unsalted),/ cup Walnuts,Salt"
4434,"Bay leaves (tej patta),Cardamom (Elaichi) Pods/Seeds,tablespoon Whole Black Peppercorns,Cloves (Laung),inch Cinnamon Stick (Dalchini),cup Red matta rice,Salt,inch Ginger,cloves Garlic,Green Chilli,grams Chicken,Onions,Tomatoes,teaspoon Red Chilli powder,/ teaspoon Turmeric powder (Haldi),tablespoon Garam masala powder,/ cup Coriander (Dhania) Leaves,/ cup Mint Leaves (Pudina),Lemon juice,/ cup Milk,Saffron strands,tablespoon Cashew nuts,tablespoon Ghee"
4435,"Banana flower (Vazhaipoo),Potato (Aloo),/ teaspoon Turmeric powder (Haldi),/ teaspoon Red Chilli powder,/ teaspoon Garam masala powder,/ teaspoon Sugar,Salt,/ cup Fresh coconut,Green Chillies,teaspoons Mustard oil,Bay leaf (tej patta),/ teaspoon Cumin seeds (Jeera),/ inch Ginger,Garlic,teaspoon Ghee"
