,TranslatedIngredients
3681,"potatoes (aloo) - hard,amaranth seeds (rajgira),fresh thyme leaves,green chillies,clovesarlic,black pepper powder,butter,sunflower oil,salt"
3682,"rice,reen peas (matar),cumin seeds (jeera),butter,clovesarlic,dried oregano,dried thyme leaves,red chilli flakes,salt and pepper"
3683,"jackfruit raw (kathal),mustard oil,onions,tomatoes,clovesarlic,inchinger,aram masala powder,coriander (dhania) seeds,cloves (laung),kashmiri red chilli powder,turmeric powder (haldi),curd (dahi / yogurt),salt,onion,fennel seeds (saunf),mustard oil,arlic butter,paneer (homemade cottage cheese),black pepper powder,salt,mozzarella cheese"
3684,"jaggery,water,whole wheat flour,nutralite classic spread,nutralite classic spread,ripe bananas,jaggery,cardamom powder (elaichi),fresh coconut,cashew nuts"
3685,"ram flour (besan),idli,onion,cumin seeds (jeera),green bell pepper (capsicum),reen peas (matar),carrot (gajjar),reen beans (french beans),cabbage (pattaobi/ muttaikose),potatoes (aloo),salt,green chillies,black pepper powder,coriander (dhania) leaves,lemon juice,turmeric powder (haldi),sunflower oil"
3686,"s rajgira flour (amaranth flour),potato (aloo),black pepper powder,rock salt,sunflower oil"
3687,"basmati rice,rajma (large kidney beans),clovesarlic,cloves (laung),bay leaf (tej patta),inch cinnamon stick (dalchini),cardamom (elaichi) pods/seeds,black pepper powder,hee,salt"
3688,"apples,tomatoes,turmeric powder (haldi),coriander powder (dhania),red chilli powder,cinnamon stick (dalchini),bay leaf (tej patta),salt,spricoriander (dhania) leaves,sunflower oil"
3689,"all purpose flour (maida),flax seed powder (flax meal),bakinpowder,butter,caster sugar,milk,vanilla extract,cocoa powder"
3690,"khoya (mawa),all purpose flour (maida),sooji (semolina/ rava),cookinsoda,sunflower oil,ulkand,cardamom powder (elaichi),cashew nuts,s water,s sugar,saffron strands,rose water,cardamom powder (elaichi),edible silver foil/leaf (chandi ka vark),rose petals"
3691,"mutton,curd (dahi / yogurt),turmeric powder (haldi),lemon juice,salt,dry red chillies,cloves (laung),whole black peppercorns,methi seeds (fenugreek seeds),coriander (dhania) seeds,cumin seeds (jeera),clovesarlic,tamarind paste,hee,spricurry leaves,jaggery,salt"
3692,"puffed rice,mango (raw),carrot (gajjar),cucumber,onion,tomato,raw peanuts (moongphali),chivda,coriander (dhania) leaves,green chillies,clovesarlic"
3693,"s whole wheat flour,brown sugar (demerara sugar),bakinpowder,bakinsoda,salt,curd (dahi / yogurt),water,sunflower oil,vanilla extract,tutti frutti"
3694,"hee,cumin seeds (jeera),cloves (laung),dry red chilli,potato (aloo),onion,green chilli,rice,hara chana,turmeric powder (haldi),red chilli powder,salt,lemon juice,coriander (dhania) leaves"
3695,"carrots (gajjar),red onion,clovesarlic,inchinger,sesame (gingelly) oil,roundnut oil,rice wine vinegar,honey,black pepper powder,fresh red chilli,fresh orange juice,salt,spricoriander (dhania) leaves,sprimint leaves (pudina),sesame seeds (til seeds)"
3696,"gram kashmiri red chilli powder,gram mustard seeds,fennel seeds (saunf),methi powder (fenugreek powder),turmeric powder (haldi),salt,asafoetida (hing),peanut oil"
3697,"sweet corn,spricoriander (dhania) leaves,thai red curry paste,bakinpowder,whole egg,salt,red chilli sauce,sunflower oil"
3699,"britannia cream cheese,s all purpose flour (maida),caster sugar,bakinpowder,salt,whole egg,s milk,butter,strawberries,vanilla extract"
3700,"pav buns,to   extra virgin olive oil,salted butter,arlic,black pepper powder,mozzarella cheese,parsley leaves,mixed herbs (dried),coriander (dhania) leaves"
3701,"chana dal (bengalram dal),white urad dal (whole),inchinger,green chilli,cumin seeds (jeera),salt,sugar,tomato,potato (aloo),inchinger,green chillies,turmeric powder (haldi),red chilli powder,cumin powder (jeera),coriander powder (dhania),bay leaf (tej patta),cardamom (elaichi) pods/seeds,inch cinnamon stick (dalchini),cumin seeds (jeera),ghee"
3702,"reen beans (french beans),red chilli sauce,clovesarlic,inchinger,sprinonionreens,honey,soy sauce,salt"
3703,"gourd,tomato,cumin seeds,turmeric powder,red chilli powder,sambar powder,spricurry leaves,salt,oil"
3705,"elephant yam (suran/senai/ratalu),curd (dahi / yogurt),ram flour (besan),mustard seeds,methi seeds (fenugreek seeds),turmeric powder (haldi),red chilli powder,coriander powder (dhania),whole black peppercorns,inch cinnamon stick (dalchini),bay leaf (tej patta),salt,sunflower oil"
3707,"reen onion leaves,raw mango,dry red chillies,cumin,oil,sugar,salt"
3708,"oil,long,bay leaf,bicardamom,cardamom,ingerarlic paste,onion,green chili,onion,tomatoes,turmeric powder,red chilli powder,coriander powder,aram masala powder,water,eggs,sprigreen coriander"
3709,"mango shrikhand,hard taco shells,mango (ripe),salt,red chilli powder,mint leaves (pudina)"
3711,"baguette,black eyed beans (lobia),extra virgin olive oil,lemon zest,lemon juice,sprimint leaves (pudina),salt and pepper,extra virgin olive oil"
3712,"raw banana,tomatoes,onion,green bell pepper (capsicum),green chillies,reen peas (matar),red chilli powder,turmeric powder (haldi),coriander powder (dhania),pav bhaji masala,salt,cumin seeds (jeera),sunflower oil,water,lemon juice,onion,mozzarella cheese,spricoriander (dhania) leaves,pizza base,butter"
3713,"cooked rice,methi leaves (fenugreek leaves),clovesarlic,onion,green chilli,cumin seeds (jeera),extra virgin olive oil,whole eggs,coriander (dhania) leaves"
3714,"whole wheat flour,salt,cookinsoda,water,homemade pizza and pasta sauce,del monte whole corn kernels,del monte black olives,onion,broccoli,yellow bell pepper (capsicum),sunflower oil,salt,black pepper powder,mixed herbs (dried)"
3715,"s cabbage (pattaobi/ muttaikose),yellow moondal (split),turmeric powder (haldi),salt,fresh coconut,cumin seeds (jeera),whole black pepper corns,mustard seeds,white urad dal (split),spricurry leaves,coconut oil"
3716,"onions,all purpose flour (maida),whole wheat flour,cumin seeds (jeera),kalonji (onion nigella seeds),fennel seeds (saunf),kasuri methi (dried fenugreek leaves),asafoetida (hing),aram masala powder,coriander powder (dhania),red chilli powder,amchur (dry mango powder),ingerarlic paste,whole black peppercorns,bakinsoda,sunflower oil,sunflower oil,salt,spricoriander (dhania) leaves"
3718,"ripe bananas,s mango (ripe),tofu,turmeric powder (haldi),fresh orange juice,coconut milk,black sesame seeds,kiwi,basil leaves"
3719,"carrots,onion,potato,celery,inchinger,coriander powder,whole pepper,of olive oil,lemon"
3720,"coriander (dhania) seeds,dry red chillies,cumin seeds (jeera),methi seeds (fenugreek seeds),black pepper corns,fresh coconut,tamarind,black eyed beans (lobia),turmeric powder (haldi),coconut oil,pearl onions (sambar onions),salt,spinach leaves (palak),coconut oil,mustard seeds,dry red chilli,spricurry leaves,clovesarlic"
3721,"sooji (semolina/ rava),onion,fresh coconut,jaggery,salt,coriander (dhania) leaves,green chilli,turmeric powder (haldi),ghee"
3722,"sweet corn,peanuts,make  tomatoes,inchinger,cumin seeds,asafoetida,turmeric powder,red chili powder,aram masala powder,green chillies,oil,salt,spricoriander"
3723,"black urad dal (split),s whole wheat flour,asafoetida (hing),inger,fennel powder,dry red chillies,coriander (dhania) seeds,cumin seeds (jeera),amchur (dry mango powder),reen chilli paste,sunflower oil,salt,sunflower oil,water"
3724,"cucumber,red chilli powder,asafoetida (hing),turmeric powder (haldi),methi seeds (fenugreek seeds),sugar,lemon"
3727,"sreen peas (matar),tomatoes,inger,khoya (mawa),cumin seeds (jeera),cloves (laung),turmeric powder (haldi),kashmiri red chilli powder,aram masala powder,hee,coriander (dhania) leaves,salt"
3728,"s hakka noodles,green beans (french beans),onion,red bell pepper (capsicum),black beans sauce,tomato ketchup,salt,extra virgin olive oil"
3729,"kinua,onion,clovesarlic,inch cinnamon,long,cardamom,mint leaves,salt,green chili,hee"
3730,"driedreen peas (vatana),onion,fresh coconut,dry red chillies,coriander (dhania) seeds,cloves (laung),inch tamarind,turmeric powder (haldi),salt"
3731,"whole wheat flour,sooji (semolina/ rava),spinach leaves (palak),ajwain (carom seeds),sunflower oil,salt,chilled water,reen peas (matar),asafoetida (hing),red chilli powder,amchur (dry mango powder),fennel seeds (saunf),aram masala powder,salt,sunflower oil"
3732,"semolina,yogurt,ginger,sweet corn,reen peas,carrots,coriander,green chillies,mustard,chana dal,curry leaves,red chilli flakes,oil,salt,ino fruit salt,water"
3733,"yellow moondal (split),idli rice,methi seeds (fenugreek seeds),salt,dry coconut (kopra),chana dal (bengalram dal),white urad dal (split),asafoetida (hing),sesame seeds (til seeds),dry red chillies,kashmiri red chilli powder,tamarind,salt,spricurry leaves,mustard seeds,black urad dal (split),ghee"
3734,"whole wheat flour tortilla,sweet potatoes,red bell pepper (capsicum),red onion,white onion,red chilli powder,cumin powder (jeera),coriander powder (dhania),feta cheese,coriander (dhania) leaves,s iceberlettuce - torn into bite,extra virgin olive oil,rice vinegar,sour cream"
3735,"bhakarwdis,curd (dahi / yogurt),onion,carrot (gajjar),reen chutney (coriander & mint),sweet chutney (date & tamarind),cumin powder (jeera),red chilli powder,chaat masala powder,salt,sev"
3736,"jowar seeds,green bell pepper (capsicum),reen peas (matar),carrot (gajjar),onions,cumin seeds (jeera),reen chillies,arlic,inger,aram masala powder,lemon juice,sugar,salt,hee,water,coriander (dhania) leaves"
3737,"s pineapple,dessicated coconut,milk powder,caster sugar,hee,cardamom powder (elaichi),mixed nuts"
3738,"suran,tomatoes,coconut,curry leaves,rye,red chili powder,coriander powder,aram masala powder,turmeric powder,salt,asafoetida,oil"
3739,"rice,eggplant,salt,oil,white urad dal,chana dal,coriander seeds,cumin seeds,sesame seeds (white),fenugreek seeds,dry red chilies,oil,mustard,asafoetida,turmeric powder,curry leaves"
3740,"curd (dahi / yogurt),fresh cream,condensed milk,vanilla extract,pineapple,pears,peaches,plum,strawberries,mango (ripe),butter,cinnamon powder (dalchini)"
3741,"whole wheat brown bread,sunflower oil,onion,clovesarlic,turmeric powder (haldi),red chilli powder,mixed herbs (dried),rajma (large kidney beans),sweet corn,cheese,salt,butter"
3742,"all purpose flour (maida),active dry yeast,lukewarm water,salt,sugar,butter,whole eggs,extra virgin olive oil,sesame seeds (til seeds)"
3743,"chicken breasts,extra virgin olive oil,black pepper powder,red bell pepper (capsicum),yellow bell pepper (capsicum),corn flour,water,pineapple,pineapple juice,salt,brown sugar (demerara sugar),vinegar,chicken stock,sesame seeds (til seeds),iceberlettuce"
3744,"bottleourd (lauki),onion,inch cinnamon stick (dalchini),asafoetida (hing),turmeric powder (haldi),salt,ram flour (besan),coconut milk,spricoriander (dhania) leaves,inch cinnamon stick (dalchini),cloves (laung),coriander (dhania) seeds,mustard seeds,whole black peppercorns,dry red chilli"
3745,"onion,tomato,coconut,green chilli,dry red chilli,chickpea lentil,reen coriander,oil,dry kashmiri chillies,salt,oil"
3746,"dill leaves,s dosa rice,poha (flattened rice),methi seeds (fenugreek seeds),jaggery,salt,sunflower oil,hee,water"
3748,"prune,onion,tomato,cinnamon powder,nutmepowder,celery,red chilli flax,honey,vinegar,salt"
3749,"chayote,fresh coconut,green chillies,spricurry leaves,cumin seeds (jeera),mustard seeds,turmeric powder (haldi),salt"
3750,"tomatoes,kabuli chana (white chickpeas),chana stock,lemon juice,turmeric powder (haldi),salt,asafoetida (hing),coriander (dhania) leaves,hee,mustard seeds,clovearlic,curry leaves,curry leaves,whole black pepper corns,cumin seeds (jeera),dry red chillies"
3752,"masoor dal (whole),turmeric powder (haldi),salt,fresh coconut,tamarind,dry red chillies,coriander (dhania) seeds,mustard seeds,clovesarlic"
3754,"tofu,rice noodles,onion,arlic,sprinonionreens,bean sprouts,whole eggs,sesame (gingelly) oil,lemon,roasted peanuts (moongphali),coriander (dhania) leaves,salt and pepper,soy sauce,sugar,red chilli flakes"
3755,"vivatta maida,sugar,active dry yeast,salt,sunflower oil,milk,lukewarm water,whole egg,chicken,butter,all purpose flour (maida),milk,cheese,salt,black pepper powder,dried oregano,dried oregano"
3756,"sweet potato,spinach,onion,fennel powder,salt,dried oregano,dried thyme leaves,red chilli flakes,salt and pepper,sunflower oil"
3757,"red matta rice,reen moondal (whole),fresh coconut,clovesarlic,cumin seeds (jeera),green chilli,turmeric powder (haldi),spricurry leaves,salt,papad"
3758,"reenram,green chillies,clovesarlic,salt,water,oil,cumin seeds,curd"
3759,"green peas (matar),onion,fresh coconut,green chillies,cumin seeds (jeera),spricurry leaves,fennel seeds (saunf),mustard seeds,salt,sunflower oil"
3760,"gram fettuccine pasta,stalks asparagus,broccoli,clovesarlic,extra virgin olive oil,fresh cream,gram butter,homemade basil pesto,salt and pepper,cheddar cheese,badam (almond),cheddar cheese,basil leaves"
3761,"elephant yam (suran/senai/ratalu),tamarind water,turmeric powder (haldi),salt,raw peanuts (moongphali),sesame (gingelly) oil,mustard seeds,white urad dal (split),ssp asafoetida (hing),spricurry leaves,green chillies,salt,turmeric powder (haldi),red chilli powder"
3762,"potatoes (aloo),del monte mint mayo,cheese,red chilli powder,dried oregano,sprigs coriander (dhania) leaves,coriander powder (dhania),amchur (dry mango powder),corn flour,whole wheat bread crumbs,sunflower oil"
3763,"chicken breasts,clovesarlic,mixed herbs (dried),lemon juice,extra virgin olive oil,tabasco original,red chilli flakes,spriparsley leaves,honey,salt,carrot (gajjar),green zucchini,baby corn,green beans (french beans),red bell pepper (capsicum),extra virgin olive oil,mixed herbs (dried),clovesarlic,parsley leaves,salt,potatoes (aloo),salt,butter,black pepper powder,lemon juice,all purpose flour (maida),water"
3764,"green zucchini,sprinonionreens,clovesarlic,dill leaves,red bell pepper (capsicum),potato (aloo),salt,black pepper powder,parmesan cheese,whole wheat bread crumbs,extra virgin olive oil,bakinpowder"
3765,"colocasia root (arbi),onion,green chilli,red chilli powder,turmeric powder (haldi),cumin powder (jeera),aram masala powder,sugar,ram flour (besan),spricoriander (dhania) leaves,whole wheat bread crumbs,salt,sunflower oil"
3766,"raham cracker crumbs,butter,caster sugar,lemon zest,lemon juice,corn flour,agar agar,water,sugar,fresh cream,yellow food colour,icinsugar,mint leaves (pudina)"
3767,"s broccoli,onion,mustard,cumin seeds,turmeric powder,red chilli powder,spricurry leaves,salt"
3768,"ram flour (besan),rice flour,onions,spricoriander (dhania) leaves,green chillies,inchinger,turmeric powder (haldi),red chilli powder,ajwain (carom seeds),asafoetida (hing),salt,sunflower oil,chaat masala powder"
3769,"instant oats (oatmeal),poha (flattened rice),.  extra virgin olive oil,mustard seeds,cumin seeds (jeera),raw peanuts (moongphali),dry red chilli,reen chilli,red chilli powder,turmeric powder (haldi),salt,sugar,reen moonsprouts,flax seeds"
3770,"tur dal,tomatoes,orange juice,lemon juice,turmeric powder,salt,coriander,asafoetida,orange zest,hee,rye,whole black pepper,cumin seeds,curry leaves,red chili powder,arhar dal"
3771,"s methi leaves (fenugreek leaves),reen peas (matar),onions,green chillies,cashew nuts,clovesarlic,inchinger,milk,coriander powder (dhania),fresh cream,cardamom powder (elaichi),sugar,kasuri methi (dried fenugreek leaves),salt,hee,cardamom (elaichi) pods/seeds,cloves (laung),cumin seeds (jeera),whole black peppercorns,inch cinnamon stick (dalchini),mace (javitri),black cardamom (badi elaichi)"
3772,"mutton,curd (dahi / yogurt),salt,mustard oil,black cardamom (badi elaichi),cardamom (elaichi) pods/seeds,cloves (laung),inch cinnamon stick (dalchini),bay leaf (tej patta),black pepper powder,fennel powder,asafoetida (hing),kashmiri red chilli powder,inch ratan jot (alkanet),fennel seeds (saunf),cinnamon powder (dalchini),kashmiri red chilli powder,black pepper powder,cardamom powder (elaichi)"
3773,"milk,sugar,active dry yeast,s all purpose flour (maida),bakinpowder,butter,salt,water,sunflower oil,caster sugar,cocoa powder,vanilla extract,milk"
3774,"curd (dahi / yogurt),milk,sprinonionreens,roasted peanuts (moongphali),cumin powder (jeera),salt"
3775,"macaroni pasta,onion,tomato,sweet corn,roasted peanuts (moongphali),red chilli powder,chaat masala powder,reen chutney (coriander & mint),sweet chutney (date & tamarind),lemon juice,salt,sev,coriander (dhania) leaves"
3776,"arhar dal (split toor dal),salt,turmeric powder (haldi),onion,tomato,hee,spricoriander (dhania) leaves,green chilli,inchinger,clovesarlic,dry red chilli,cumin seeds (jeera),coriander (dhania) seeds,inch cinnamon stick (dalchini),cloves (laung),whole black peppercorns,poppy seeds,hee,cumin seeds (jeera)"
3777,"rice noodles,s water,salt,sunflower oil,onions,sunflower oil,butter,sugar,salt,tofu,salt,arlic,inger,red chilli flakes,vinegar,soy sauce,honey,brown sugar (demerara sugar),salt,lemon juice,roasted peanuts (moongphali),spricoriander (dhania) leaves,lemon juice,carrots (gajjar),english cucumbers,sprinonionreens"
3778,"whole wheat flour,active dry yeast,sugar,clovesarlic,salt,lukewarm water,onion,coriander (dhania) leaves,,clovesarlic,salt,red chilli powder,turmeric powder (haldi)"
3779,"whole wheat flour,pumpkin seeds,bakinpowder,bakinsoda,salt,cinnamon powder (dalchini),sugar,whole eggs,s carrots (gajjar),sunflower oil,milk,butter,water,vanilla extract"
3780,"white urad dal (split),methi seeds (fenugreek seeds),cardamom (elaichi) pods/seeds,dryinger powder,palm jaggery,s water,salt,ingelly oil"
3781,"s horseram dal (kollu/ kulith),onion,green chillies,inchinger,spricurry leaves,fennel seeds (saunf),salt,sunflower oil,onions,tomatoes,inchinger,clovesarlic,coriander powder (dhania),red chilli powder,turmeric powder (haldi),cloves (laung),inch cinnamon stick (dalchini),cardamom (elaichi) pods/seeds,fennel seeds (saunf),sprimint leaves (pudina),bay leaves (tej patta),sunflower oil,poppy seeds,fresh coconut,cashew nuts"
3782,"spinach,fresh coconut,onion,clovesarlic,dry red chillies,mustard seeds,white urad dal (split),spricurry leaves,ssp asafoetida (hing),salt"
3783,"kabuli chana (white chickpeas),brinjal (baingan / eggplant),mango (raw),onion,clovesarlic,star anise,cardamom (elaichi) pods/seeds,inch cinnamon stick (dalchini),sichuan peppercorns,red chilli powder,turmeric powder (haldi),black pepper powder,sugar,coconut milk,salt"
3784,"reen chillies,sunflower oil,mustard seeds,salt,turmeric powder (haldi),red chilli powder,fennel powder,coriander powder (dhania),lemon juice,sugar"
3785,"strawberries,huncurd (greek yogurt),sugar"
3786,"all purpose flour (maida),active dry yeast,sugar,s all purpose flour (maida),salt,caster sugar,active dry yeast,aram masala powder,turmeric powder (haldi),butter,coriander (dhania) leaves,mint leaves (pudina),cheese"
3787,"milk powder,condensed milk,to  hee,cardamom powder (elaichi),to  saffron strands,milk"
3788,"kaddu (parangikai/ pumpkin),mooli/ mullangi (radish),colocasia root (arbi),brinjal (baingan / eggplant),carrot (gajjar),bhindi (lady finger/okra),drumstick,tomato,curd (dahi / yogurt),ram flour (besan),turmeric powder (haldi),red chilli powder,dry red chillies,spricurry leaves,panch phoran masala,tamarind paste,clovesarlic,salt,sunflower oil"
3789,"tinda,mustard,cumin seeds,coriander powder,cumin powder,red chilli powder,turmeric powder,asafoetida,amchoor powder,jaggery,curry leaves,oil,sprigs ofreen coriander,peanuts,salt to taste"
3790,"s all purpose flour (maida),s caster sugar,coca cola,cocoa powder,instant coffee powder,sunflower oil,buttermilk,butter (unsalted),salt,bakinpowder,vanilla extract,butter (unsalted),coca cola,cocoa powder,s caster sugar,salt,filter coffee powder,vanilla extract"
3791,"s watermelon,agar agar,sugar"
3793,"okra,potato,onion,tomatoes,clovesarlic,inchinger,green chili,spricurry leaves,coriander powder,cumin powder,turmeric powder,red chilli powder,rye,cumin,water,sugar,salt,asafoetida,oil,green coriander,lemon juice"
3794,"eggplants,trumpet,onion,clovesarlic,tomato,jaggery,turmeric powder,amchoor,dhansak masala,salt"
3795,"soy sauce,honey,peanut butter,red wine vinaigrette,sesame (gingelly) oil,red chilli sauce,black pepper powder,clovearlic,chinese  spice powder"
3796,"cauliflower (gobi),carrots (gajjar) - diced to bite,green beans (french beans) - cut to bite,reen peas (matar),green bell pepper (capsicum) - diced to bite,potatoes (aloo) - diced to bite,onions,inchinger,clovesarlic,green chilli,tomatoes,coriander powder (dhania),aram masala powder,red chilli powder,salt,sunflower oil,bay leaves (tej patta),cinnamon stick (dalchini),cardamom (elaichi) pods/seeds,ajwain (carom seeds),paneer (homemade cottage cheese),fresh cream,cashew nuts,pineapple - cut to bite,anardana powder (pomegranate seed powder),raisins,cashew nuts,coriander (dhania) leaves,coriander (dhania) leaves"
3797,"apples,onions,inger,dates,all spice powder,jaggery,red wine vinaigrette,salt -   oil,thyme leaves"
3798,"s whole wheat flour,ragi flour (finger millet/ nagli),coriander (dhania) leaves,curd (dahi / yogurt),inger,garlic,reen chilli,sugar,sunflower oil,cumin seeds (jeera),turmeric powder (haldi),salt"
3799,"rice,salt,oil,sesame (white),coconut,dry red chillies,white urad dal (split),rye,cashew nuts,spricurry leaves,asafoetida"
3800,"s whole wheat flour,s all purpose flour (maida),active dry yeast,extra virgin olive oil,salt,honey,sage,s water,mixed berries,ranulated sugar,extra virgin olive oil,mascarpone cheese,honey,orange zest (rind)"
3801,"vivatta maida,caster sugar,milk,butter,bakinpowder,bakinsoda,salt,vanilla extract,fresh cherries,flax seed powder (flax meal)"
3802,"reen moondal,cumin seeds,curry leaves,inger,reen chilli,turmeric powder,lemon juice,coriander,oil,salt"
3803,"brinjals,tamarind paste,onion,red chillies,peanuts,sesame seeds (white),spoon coconut,coriander seeds,cumin seeds,cardamom,garlic,chickpea lentils,oil,bay leaves,cumin seeds,spricurry leaves"
3804,"of trumpet,s fenugreek,onion,cumin seeds,dry red chillies,longarlic,green chillies,coriander powder,turmeric powder,lemon juice,aram masala powder,oil"
3805,"puff pastry sheet,apple,cinnamon powder (dalchini),caster sugar,butter (unsalted),sugar,milk,whole egg"
3806,"whole wheat flour,ajwain (carom seeds),turmeric powder (haldi),salt,sunflower oil"
3807,"idli dosa batter,paneer (homemade cottage cheese),reen bell pepper (capsicum),sprinonionreens,onion,tomatoes,cabbage (pattaobi/ muttaikose),tomato ketchup,sweet and spicy red chilli sauce (tomato chilli sauce),soy sauce,sunflower oil"
3808,"anardana powder (pomegranate seed powder),onion,coriander (dhania) leaves,mint leaves (pudina),green chillies,cumin seeds (jeera),chaat masala powder,salt,sugar,lemon juice,water"
3809,"arhar dal (split toor dal),dill leaves,fresh coconut,poppy seeds,onion,tomato,cinnamon stick (dalchini),spricoriander (dhania) leaves,sambar powder,mustard seeds,spricurry leaves,jaggery,sunflower oil,salt"
3810,"whole wheat brown bread,cashew nuts,raisins,jaggery,cinnamon powder (dalchini),ripe bananas,fresh cream"
3811,"sweet corn,avarekalu / lilva beans,fresh coconut,cumin powder (jeera),mustard seeds,asafoetida (hing),green chillies,dry red chilli,or  curry leaves,salt,sunflower oil"
3812,"gobi,onion,clovesarlic,black pepper powder,cumin powder,red chili powder,coriander leaves,salt,mustard,spricurry leaves,black urad dal (split),red chili,oil"
3813,"s all purpose flour (maida),bakinsoda,salt,cinnamon powder (dalchini),sugar,sunflower oil,whole eggs,vanilla extract,s apple"
3814,"s rice,onion,cardamom (elaichi) pods/seeds,cloves cloves (laung),inch cinnamon stick (dalchini),salt,hee"
3815,"whole eggs,sugar,all purpose flour (maida),bakinpowder,lemon zest,vanilla extract,butter,icinsugar,chocolateanache"
3816,"all purpose flour (maida),ram flour (besan),turmeric powder (haldi),red chilli powder,bakinsoda,asafoetida (hing),salt,dessicated coconut,sugar,turmeric powder (haldi),coriander powder (dhania),red chilli powder,amchur (dry mango powder),fennel seeds (saunf),cumin powder (jeera),sesame seeds (til seeds),aram masala powder,poppy seeds,salt,sunflower oil - for deep,tamarind paste"
3817,"sram flour (besan),rice flour,urad dal flour,asafoetida (hing),turmeric powder (haldi),cumin powder (jeera),red chilli powder,butter,water,salt,sunflower oil"
3818,"s cashew nuts,sugar,water,milk chocolate"
3819,"paneer (homemade cottage cheese),all purpose flour (maida),corn flour,inchinger,clovesarlic,soy sauce,water,salt,black pepper powder,sunflower oil,sprinonion (bulb &reens),arlic,inger,green chillies,soy sauce,sriracha sauce,rice vinegar,homemade tomato puree,corn flour"
3820,"whole wheat brown bread,potatoes (aloo),paneer (homemade cottage cheese),green chillies,onion,salt,butter"
3821,"bhindi (lady finger/okra),arhar dal (split toor dal),turmeric powder (haldi),green chillies,tamarind,jaggery,rasam powder,salt,coconut oil,mustard seeds,cumin seeds (jeera),asafoetida (hing),curry leaves"
3822,"s idli rice,lemon juice,turmeric powder (haldi),mustard seeds,white urad dal (split),roasted peanuts (moongphali),green chillies,spricurry leaves,inchinger,sesame (gingelly) oil"
3823,"mango (raw),dry red chillies,mustard seeds,methi seeds (fenugreek seeds),cumin seeds (jeera),asafoetida (hing),coconut oil,salt"
3824,"s whole wheat flour,wheat bran,caster sugar,cardamom (elaichi) pods/seeds,butter (unsalted),salt,milk,cashew nuts"
3825,"tortillas,mozzarella cheese,butter,chicken breasts,reen bell pepper (capsicum),sprinonion (bulb &reens),clovesarlic,inchinger,green chillies,corn flour,soy sauce,tomato ketchup,sweet and spicy red chilli sauce (tomato chilli sauce),sunflower oil,salt"
3826,"all purpose flour (maida),sugar,hot water,vanilla extract,whole eggs,butter,heavy whippincream,caster sugar,instant coffee powder"
3828,"milk,sugar,cardamom powder (elaichi),saffron strands,badam (almond)"
3829,"reen moondal,carrots,reen beans,cabbage,reen peas,coconut,inger,turmeric powder,dry red chillies,bay leaf,cumin seeds,hee,salt,s water,cumin seeds,mustard seeds,fennel seeds,kalonji seeds,fenugreek seeds,fenugreek seeds"
3830,"s kala chana (brown chickpeas),sunflower oil,bay leaf (tej patta),cumin seeds (jeera),mustard seeds,asafoetida (hing),green chillies,tomato,whole wheat flour,salt,water,red chilli powder,turmeric powder (haldi),coriander powder (dhania),lemon juice,spricoriander (dhania) leaves"
3831,"chicken,s basmati rice,onions,tomatoes,green chillies,graminger,gramarlic,red chilli powder,coriander powder (dhania),aram masala powder,coriander (dhania) leaves,mint leaves (pudina),sunflower oil,ghee,salt,huncurd (greek yogurt),red chilli powder,turmeric powder (haldi),salt"
3832,"boneless chicken,chana dal (bengalram dal),rice,broken wheat (dalia/odumai rava),bay leaf (tej patta),onions,ingerarlic paste,green chillies,red chilli powder,salt,mint leaves (pudina),coriander (dhania) leaves,sunflower oil,hee,cumin seeds (jeera),ajwain (carom seeds),whole black peppercorns,inch cinnamon stick (dalchini),cardamom (elaichi) pods/seeds,black cardamom (badi elaichi)"
3833,"raw banana,rice flour,all purpose flour (maida),milk,fresh coconut,salt"
3834,"chicken breasts,salt,corn flour,black pepper powder,sunflower oil,yakisoba noodles,sunflower oil,onion,carrot (gajjar),cabbage (pattaobi/ muttaikose),sprinonionreens,button mushrooms,soy sauce,red wine vinaigrette,brown sugar (demerara sugar),worcestershire sauce,green chilli"
3835,"oreo biscuits,butter (unsalted),nutella spread,britannia cream cheese,nutella spread,caster sugar,vanilla extract,heavy whippincream,cocoa powder,elatin,oreo biscuits,fresh cherries"
3836,"mutton,onion,ingerarlic paste,turmeric powder (haldi),curd (dahi / yogurt),red chilli powder,cumin powder (jeera),coriander powder (dhania),aram masala powder,green chillies,extra virgin olive oil,coriander (dhania) leaves,salt,lemon juice,extra virgin olive oil,onion,dry red chillies"
3837,"s broccoli,onion,mustard seeds,cumin seeds (jeera),turmeric powder (haldi),red chilli powder,spricurry leaves,salt,sunflower oil"
3838,"basmati rice,sugar,hee,bay leaves (tej patta),cloves (laung),inch cinnamon stick (dalchini),cardamom (elaichi) pods/seeds,whole black peppercorns,saffron strands,dates,badam (almond),cashew nuts,raisins,salt,s water"
3839,"reen amaranth leaves,onion,turmeric powder (haldi),curd (dahi / yogurt),salt,sunflower oil,fresh coconut,green chilli,spricoriander (dhania) leaves,mustard seeds,methi seeds (fenugreek seeds),cumin seeds (jeera),asafoetida (hing),spricurry leaves,dry red chillies,sunflower oil"
3840,"chicken,onions,tomatoes,inchinger,clovesarlic,red chilli powder,turmeric powder (haldi),chicken masala,fresh coconut,cloves (laung),inch cinnamon stick (dalchini),curry leaves,coconut oil"
