,TranslatedIngredients
3337,"50 Grams Cumin seeds (Jeera),50 Grams Cardamom (Elaichi) Pods/Seeds,30 Grams Coriander (Dhania) Seeds,30 Grams Whole Black Peppercorns,20 Grams Fennel seeds (Saunf),10 Grams Cinnamon Stick (Dalchini),10 Grams Cloves (Laung),10 Grams Bay leaves (tej patta),10 Grams Dry ginger powder,2 Nutmeg - whole nutmeg"
3338,"1-1/2 cups Cauliflower (gobi) - florets,1/4 cup Badam (Almond),1/4 cup Onions - roughly chopped,2 cloves Garlic,1/2 teaspoon Coriander Powder (Dhania),1/2 teaspoon Cumin powder (Jeera),1/4 teaspoon Cinnamon Powder (Dalchini),2 Pickled Jalapenos - slit,2 teaspoons Extra Virgin Olive Oil,Salt - to taste,4 Badam (Almond) - slivered or chopped (optional),2 Spring Onion Greens - chopped finely,1 teaspoon Green Chilli Paste"
3339,"500 grams Tindora (Dondakaya/ Kovakkai) - slit length wise,1 Onion - thinly sliced,1 teaspoon Mustard seeds,1/2 teaspoon Cumin seeds (Jeera),2 Dry Red Chillies,Asafoetida (hing) - a pinch,1 sprig Curry leaves,2 tablespoons Sunflower Oil,Salt - to taste,2 tablespoons White Urad Dal (Split),4 tablespoons Raw Peanuts (Moongphali),2 tablespoons Coriander (Dhania) Seeds,2 tablespoons Sesame seeds (Til seeds),4 Dry Red Chillies,1 teaspoon Sunflower Oil"
3340,"1 cup Cherry tomatoes - sliced,1 Cucumber - chopped,1 Onion - diced,1 sprig Mint Leaves (Pudina),1/4 cup Red Wine Vinaigrette,3 tablespoon Extra Virgin Olive Oil,Salt and Pepper - to taste"
3341,"2 cup Tapioca Flour (Sago) - soaked in water for 1 hour,1 Potato (Aloo) - skin peeled and chopped small,1 teaspoon Cumin seeds (Jeera),1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Black pepper powder,1 teaspoon Sugar,Salt - to taste,Sunflower Oil - for cooking,1/2 cup Roasted Peanuts (Moongphali) - roasted,1/4 cup Fresh coconut - grated,5 sprig Coriander (Dhania) Leaves,3 Green Chilli - chopped"
3342,"1/3 cup Paneer (Homemade Cottage Cheese),1/4 cup Milk Powder,1/3 cup Caster Sugar,1/2 cup Milk - (full fat milk),1/4 cup Heavy whipping cream,2 pinch Saffron strands,2 teaspoons Gelatin,Pistachios - chopped"
3343,"4 Potato (Aloo),1/2 cup Gram flour (besan),2 tablespoon All Purpose Flour (Maida),2 teaspoon Red Chilli powder,1/2 teaspoon Ajwain (Carom seeds),Salt - to taste,Sunflower Oil - as required"
3344,"1 cup wheat flour, 1/2 teaspoon salt, oil - to knead (as per use), ghee - or to cook oil (as per use)"
3345,"2 tablespoons Extra Virgin Olive Oil,1 Onion - finely chopped,1 Red Bell pepper (Capsicum) - finely chopped,3 cloves Garlic - grated,1 Pickled Jalapenos - finely chopped,250 grams Spinach - roughly chopped,1/2 cup Homemade tomato puree,5 Tomatoes - blanched and roughly chopped,1 Bay leaf (tej patta),1 teaspoon Cumin powder (Jeera) - roasted,1 teaspoon Red Chilli powder - or roasted paprika,Salt and Pepper - to taste,1 teaspoon Sugar,50 grams Feta Cheese,4 Whole Eggs,1 Coriander (Dhania) Leaves - small bunch"
3346,"250 grams Chicken - boneless and minced (cleaned and washed),1 Onion - sliced,1 teaspoon Ginger Garlic Paste,5 Coriander (Dhania) Leaves,6 Cashew nuts,3 Green Chillies,1 Whole Eggs,Salt - as required,1 tablespoon Sunflower Oil,2 Onions - finely sliced,1 Tomato - finely chopped,5 Mint Leaves (Pudina) - chopped,1 teaspoon Turmeric powder (Haldi),1 teaspoon Ginger Garlic Paste,1 teaspoon Red Chilli powder - (adjust according to your choice),1 teaspoon Garam masala powder,1/4 teaspoon Black pepper powder,Salt - as required,1 teaspoon Lemon juice,5 sprig Coriander (Dhania) Leaves - finely chopped to garnish"
3347,"2 cups Poha (Flattened rice) - thin variety,1 Onion - finely chopped,1 Tomato - finely chopped,1/2 Carrot (Gajjar) - grated,1 tablespoon Coriander (Dhania) Leaves - finely chopped,2 tablespoons Sev - thin variety,2 tablespoons Fresh coconut - grated,1 teaspoon Sugar,1 tablespoon Lemon juice,Salt - to taste,1 teaspoon Mustard seeds,1/2 teaspoon Cumin seeds (Jeera),1/4 teaspoon Asafoetida (hing),1 sprig Curry leaves,2 tablespoons Raw Peanuts (Moongphali),1 Green Chilli - finely chopped,2 teaspoons Sunflower Oil"
3348,"250 grams Chicken - minced,1 tablespoon Onion powder,8 to 10 cloves Garlic - minced,1-1/2 teaspoon Garlic - finely chopped,Salt - to taste,1 tablespoon Black pepper powder,2 teaspoons Dried oregano,Mozzarella cheese - ,1/2 cup All Purpose Flour (Maida),2 Whole Eggs - beaten,Sunflower Oil - for deep frying,3/4 cup Whole Wheat Bread crumbs"
3349,"5 tomatoes - finely chopped, 2 green chillies - chopped, 1/4 teaspoon turmeric powder, 1/2 teaspoon red chilli powder, salt - to taste, 1 teaspoon coconut oil, 1/2 teaspoon mustard, 1 cast Curry leaves, 1/4 cup coconut - chopped, 1 teaspoon cumin seeds, 5 onions - halved"
3350,"1 liter Milk,1 cup Paneer (Homemade Cottage Cheese) - crumbled,15 Saffron strands,1/4 cup Sugar,1/2 teaspoon Cardamom Powder (Elaichi),4 Badam (Almond) - pound,4 Pistachios - pound,1 Edible Silver Foil/Leaf (Chandi Ka Vark) - for garnishing"
3351,"5 stock lemon grass - chop, 1 this galangal - or ginger, 1 onion - chop, 4 dry red chillies - soak for 15 minutes, 1 sprig kaffir lime leaves - or basil leaves, 6 bud garlic, 1 Tbsp coriander seeds, 1 tsp cumin seeds, 1 tsp whole pepper, 1/4 tsp turmeric powder"
3352,"1 Brinjal (Baingan / Eggplant),1/4 cup Cranberries,1 cup Parsley leaves,1/4 teaspoon Sesame seeds (Til seeds) - roasted,1 tablespoon Lemon juice,Salt - to taste,Sunflower Oil - as required"
3353,"1 cup Instant Oats (Oatmeal),2 cups Water,1/3 cup Sugar,1/2 tablespoon Cardamom Powder (Elaichi),2 tablespoon Pistachios - slivers,2 teaspoon Ghee"
3354,"500 grams okra - cut, 10 small onions - finely chopped, 1/4 cup coconut - grated, 2 green chillies - finely chopped, 1 sprig curry leaves, 1/2 teaspoon mustard, 1/2 teaspoon turmeric Powder, salt - as per taste, oil - as per use"
3355,"2 cups Bajra (seeds),1 cup Idli Rice,2 cups White Urad Dal (Whole),1 tablespoon Methi Seeds (Fenugreek Seeds),3 teaspoons Salt,2 cups Bajra Dosa Batter,1 Onion - finely chopped,1 Carrot (Gajjar) - grated,1 Beetroot - small,6 Britannia Cheese Cubes - grated,Sunflower Oil - as required,1 Onion - finely chopped,1 Green Chilli,3 cloves Garlic,3 Tomatoes - finely chopped,1/2 teaspoon Red Chilli powder,Salt - to taste,2 tablespoons Britannia Cheese Spread - Classic"
3356,"250 grams Paneer (Homemade Cottage Cheese),2 cups Milk - full cream,1/3 cup Sugar,1/2 teaspoon Cardamom Powder (Elaichi),Saffron strands - few strands,10 Cashew nuts - chopped,10 Raisins,6 Badam (Almond) - chopped,Few Pistachios - chopped,Mixed nuts - chopped,Rose Petals,Saffron strands"
3357,"3 Whole Eggs - whisked,1 Onion - sliced thinly,1 Tomato - chopped finely,1 Green Bell Pepper (Capsicum) - sliced thinly,1 clove Garlic - minced,2 Green Chillies - chopped finely,2 - 3 sprig Coriander (Dhania) Leaves - roughly chopped,1 tablespoon Nutralite Cheesy Garlic Mayo,1/4 teaspoon Garam masala powder,1/4 Red Chilli flakes - or paprika,2 tablespoon Cheese - grated (optional),Salt and Pepper - to taste,1 tablespoon Nutralite Garlic & Oregano Spread"
3358,"1 cup Honey dew melon - cut into cubes,1 English Cucumber - cut into cubes,1 Onion - finely chopped,1 Green Chilli - finely chopped,1/4 cup Coriander (Dhania) Leaves - finely chopped,1 tablespoon Lemon juice,Salt - as required"
3359,"250 gm arabic, 2 tablespoons gram flour, 1 teaspoon red chilli powder, 1 teaspoon coriander powder, 1/4 teaspoon turmeric powder, 1/2 teaspoon mango powder, 3/4 teaspoon cumin powder, salt - as per taste , 1/4 teaspoon asafoetida, 3 tablespoons oil, 1 teaspoon oil, 1/4 teaspoon cumin seeds, 1/2 teaspoon celery, 1 green chili - finely chopped, 2 teaspoons lemon juice, 1 sprig green Coriander - chopped"
3360,"2 cups All Purpose Flour (Maida),1 teaspoon Baking soda,1/2 teaspoon Salt,3/4 cup Butter (unsalted) - softened,1/2 cup Sugar,3/4 cup Brown Sugar (Demerara Sugar) - light brown,1 Whole Egg,2 teaspoons Vanilla Extract,1-1/2 Cup Milk,Chocolate chips - semi sweet (as required)"
3361,"Green onions - 1/2 cup gram flour, 1/2 cup rice flour, 2 green chilies - finely chopped, green coriander - little, mint - little, 1/2 tablespoon coriander seeds - crush Take 1 teaspoon red chilli powder, 1/4 teaspoon turmeric powder, 1/2 teaspoon ino fruit salt, oil - as per use, salt - as per taste"
3362,"250 grams Kaddu (Parangikai/ Pumpkin) - peeled and chopped,3/4 cup Hung Curd (Greek Yogurt) - whisked (adjust),1 tablespoon Sunflower Oil - (or ghee),1 teaspoon Cumin seeds (Jeera),2 to 3 Green Chillies - chopped,2 tablespoons Groundnut powder - roasted,1/4 teaspoon Asafoetida (hing),1 teaspoon Sugar,Salt - Salt to taste,Coriander (Dhania) Leaves - few"
3363,"1 cup Arhar dal (Split Toor Dal),1/2 teaspoon Turmeric powder (Haldi),Salt - to taste,1 teaspoon Mustard seeds,1 teaspoon Cumin seeds (Jeera),2 Cloves (Laung),1 inch Cinnamon Stick (Dalchini),1 teaspoon Cardamom Powder (Elaichi),1 Green Chilli - chopped,4 cloves Garlic - sliced,1 sprig Curry leaves,1 tablespoon Jaggery,Ghee - for tempering"
3364,"20 Cherry tomatoes,20 Mozzarella cheese - cut into small pieces,20 Basil leaves,1 teaspoon Extra Virgin Olive Oil,Salt - to taste,1 tablespoon Balsamic Vinegar,Black pepper powder,20 Toothpicks,1 teaspoon Rosemary - for garnish"
3365,"4 tablespoons Fresh coconut - grated,5 Cashew nuts,2 teaspoons Chana dal (Bengal Gram Dal),2 teaspoons Poppy seeds,5 cloves Garlic,1 inch Ginger,1 Cinnamon Stick (Dalchini),3 Cloves (Laung),1 Cardamom (Elaichi) Pods/Seeds,1 teaspoon Fennel seeds (Saunf),4 Green Chillies - adjust as per taste,1 cup Green peas (Matar) - steamed,1 Onion - finely chopped,1 Tomato - finely chopped,2 teaspoons Sunflower Oil,1 Cinnamon Stick (Dalchini),2 Cloves (Laung),1 Cardamom (Elaichi) Pods/Seeds,1/2 teaspoon Fennel seeds (Saunf),1 teaspoon Red Chilli powder,2 teaspoon Lemon juice,1 sprig Curry leaves,Salt - to taste"
3366,"15 Baby Potatoes,1 Onion - finely chopped,1/4 cup Green Bell Pepper (Capsicum) - finely chopped,2 teaspoons Extra Virgin Olive Oil,1 teaspoon Black pepper powder,1 tablespoon Sweet and Spicy Red Chilli Sauce (Tomato Chilli Sauce),1/2 tablespoon English Mustard Sauce,2 tablespoons Classic Mayonnaise (With Egg),1 teaspoon Chilli vinegar,Salt - to taste,Spring Onion Greens - to garnish"
3367,"1 cups Gram flour (besan),1/4 cup Rice flour,1/4 teaspoon Turmeric powder (Haldi),1/4 teaspoon Red Chilli powder,1/8 teaspoon Baking soda,Salt - to taste,1 teaspoon Sunflower Oil,1 teaspoon Mustard seeds,3 Potatoes (Aloo) - boiled & mashed,2 Green Chillies - finely chopped,1 sprig Curry leaves - finely chopped,1 inch Ginger - grated,1/4 teaspoon Turmeric powder (Haldi),1/4 teaspoon Red Chilli powder,1/4 teaspoon Asafoetida (hing)"
3368,"1/4 cup Green peas (Matar) - steamed,8 sprig Mint Leaves (Pudina),1 inch Ginger - grated,1 Green Chilli,1 cup Barnyard Millet - cooked (you can use either bajra or foxtail or any other local millet),2 Potatoes (Aloo) - boiled and mashed,50 grams Paneer (Homemade Cottage Cheese),2 tablespoons Gram flour (besan),1 Onion - finely chopped,1 teaspoon Chaat Masala Powder,1/2 teaspoon Garam masala powder,Salt - to taste,Sunflower Oil - for cooking"
3369,"2 cups All Purpose Flour (Maida),1 teaspoon Sugar,1 teaspoon Salt - (or to taste),2 teaspoons Active dry yeast,2 Tablespoon Extra Virgin Olive Oil,Lukewarm Water,200 grams Cherry tomatoes - halved,4 cloves Garlic - finely chopped,1/2 cup Mozzarella cheese - grated,1 Onion - sliced,1 Tablespoon Extra Virgin Olive Oil,Salt - to taste"
3370,"200 grams Broccoli - cut into medium florets,1/2 cup Instant Oats (Oatmeal) - ground into flour,2 Egg whites,2 tablespoons Hung Curd (Greek Yogurt),1/2 teaspoon Baking powder,1/4 teaspoon Baking soda,1 teaspoon Nutmeg powder,2 teaspoon Dried Thyme Leaves,2 sprig Coriander (Dhania) Leaves - finely chopped,5 tablespoons Butter (unsalted) - divided"
3371,"1 cup Green Moong Dal (Whole) - soaked for 3 hours,1 cup Oats Flour,1 inch Ginger,2 Green Chillies,Salt - to taste,Sunflower Oil - to make pessaratu"
3372,"2 beetroot - (chakundar), 2 cups curd, 2 cups water, 1 inch ginger - chop, 2 green chillies, 1/4 tsp chaat masala powder, salt - as per taste, 1/2 tsp rye, 2 sprig curry Leaf, 1 tsp oil"
3373,"1 tablespoon oil, 7 tomatoes - chopped, 1 onion - chopped, 1 carrot - finely chopped, 7 cloves garlic - chopped, salt - as per taste, 1 teaspoon whole pepper - crush, 1/2 Tablespoon sugar - optional"
3374,"3/4 cup Arhar dal (Split Toor Dal),1/2 cup Tamarind Water,1 tablespoon Jaggery,1/4 teaspoon Turmeric powder (Haldi),3/4 tablespoon Maharashtrian Goda Masala,1 sprig Coriander (Dhania) Leaves - chopped,1 teaspoon Mustard seeds,1 teaspoon Cumin seeds (Jeera),1 teaspoon Methi Seeds (Fenugreek Seeds),2 sprig Curry leaves,1 pinch Asafoetida (hing),2 Green Chilli - chopped"
3375,"2 cups White Urad Dal (Whole) - soaked for 4-5 hours,1-1/2 cups Vellai Poosanikai (Ash gourd/White Pumpkin) - finely chopped,4 Green Chillies - (adjust),1 pinch Cooking soda,Sunflower Oil - to deep fry,Salt - to taste"
3376,"500 grams Chicken,1-1/2 cup Shallots - chopped,1 Tomatoes - chopped,2 sprig Curry leaves,1/2 teaspoon Fennel seeds (Saunf),4 Dry Red Chillies,3 Green Chillies,1 tablespoon Ginger Garlic Paste,1/2 teaspoon Turmeric powder (Haldi) - + 1/2 teaspoon extra,1 teaspoon Fennel Powder - roasted,1 tablespoon Coriander Powder (Dhania),2 tablespoon Red Chilli powder,1 teaspoon Black pepper powder,1/2 cup Tamarind Water,Salt - to taste,3 tablespoon Sunflower Oil,Water - as required,Coriander (Dhania) Leaves - chopped for garnish"
3377,"4 Long Green Brinjal - cut into 1 inch pieces,1 teaspoon Turmeric powder (Haldi),1 sprig Curry leaves,1 teaspoon Mustard seeds,1 teaspoon Asafoetida (hing),3 tablespoons Fresh coconut - grated,Salt - to taste,Sesame (Gingelly) Oil - for cooking,1 tablespoon Coriander (Dhania) Seeds,1 tablespoon Chana dal (Bengal Gram Dal),3 Byadagi Dried Chillies,1 inch Cinnamon Stick (Dalchini)"
3378,"1 कप चना दाल,1/2 कप नारियल - छोटे टुकड़ो में कटे हुए,1 बड़ा चमच्च घी,1 छोटा चमच्च हल्दी पाउडर,1 छोटा चमच्च शक्कर,नमक - स्वाद अनुसार,1 बड़ा चमच्च घी,3 सुखी लाल मिर्च,2 लौंग,1 इंच दालचीनी,1 तेज पत्ता,1/2 छोटा चमच्च जीरा,2 हरी मिर्च - लंबाई में दो भागो में कटी हुई,1 इंच अदरक - छीलकर कसा हुआ"
3379,"1 1/2 cups Chocolate chips - semi sweet ,1 3/4 cups Condensed Milk,1 1/2 cups Chocolate wafers - or coffee flavoured wafer biscuits,1 cup Walnuts - or choco chips or caramel chips,1 teaspoon Vanilla Extract"
3380,"1 cup Jackfruit Raw (Kathal) - chopped,1 cup Instant dosa Mix Powder - or you can skip this and add 2 cups broken rice,1/2 cup Curd (Dahi / Yogurt),4 tablespoon Fresh coconut - grated,2 tablespoon Jaggery - can be adjusted,1 pinch Salt"
3381,"180 grams Britannia Cream Cheese,2 teaspoons Agar agar,1 cup Heavy whipping cream,120 grams White Chocolate - melted,1/2 teaspoon Vanilla Extract,2 tablespoon Sugar - powdered,1/4 teaspoon Lemon zest,1/4 teaspoon Orange Zest (Rind),1-1/2 cup Graham cracker crumbs - crush in food processor,100 grams Butter (unsalted) - melted,1/4 teaspoon Vanilla Extract"
3382,"300 grams Chicken - cut into small pieces,1 Whole Egg,1/4 cup Corn flour,Salt and Pepper - to taste,5 sprig Basil leaves,2 Fresh Red chillies - chopped,4 cloves Garlic - chopped,1 Green bell peppers - sliced,2 1/2 tablespoons Sunflower Oil,2 tablespoon Red Chilli sauce,1 tablespoon Soy sauce,1 teaspoon Tomato Ketchup,1 tablespoon Corn flour,1 cup Water"
3383,"1 cup masoor dal, 1 onion - finely chopped, 1 tomato, 6 long garlic, 2 inch ginger, 1 bay leaf, 2 long, 1 tsp cumin seeds, 1 cinnamon, 2 tsp garam masala powder, 1 tsp red chilli Powder, 2 tsp coriander powder, 2 tbsp ghee, 2 tsp cream, salt - as per taste"
3384,"150 grams Butter,2 tablespoons Sesame seeds (Til seeds),170 grams Vivatta Maida,1 teaspoon Baking powder,1/2 cup Dates - paste or any filling of your choice,3/4 cup Sugar - powdered sugar for coating the cookies,Salt - a pinch"
3385,"300 grams Cherry tomatoes,2 tablespoons Extra Virgin Olive Oil,3 cloves Garlic - finely chopped,2 sprig Rosemary,Salt and Pepper - to taste"
3386,"1 cup Cashew nuts,1 cup Pistachios,3/4 cup Condensed Milk - sweetened,2 teaspoon Ghee,2 tablespoons Milk Powder,1/2 cup Sugar - powdered,1 teaspoon Rose water,1 teaspoon Cardamom Powder (Elaichi)"
3387,"1 cup Gram flour (besan),Salt - to taste,Turmeric powder (Haldi) - a pinch,1/2 teaspoon Red Chilli powder,1 teaspoon Ajwain (Carom seeds),1-1/2 cup Water,1 tablespoon Sunflower Oil,Curry leaves - few,1 teaspoon Cumin seeds (Jeera),1/2 teaspoon Mustard seeds,Asafoetida (hing) - a pinch,Salt - to taste,1/2 teaspoon Garam masala powder,1/2 teaspoon Red Chilli powder,1 cup Buttermilk,Coriander (Dhania) Leaves - to garnish"
3388,"200 grams All Purpose Flour (Maida),60 grams Cocoa Powder,125 grams Sugar,2 teaspoons Baking powder,75 grams Butter (unsalted) - cut into cubes,1/2 cup Badam (Almond) - slices,1/2 cup Chocolate chips,150 ml Fresh cream,1 Whole Eggs,1 teaspoon Vanilla Extract,1 recipe Chocolate ganache"
3389,"1 कप काबुली चना या छोला,1 कप पालक,1 प्याज - पतला काट ले,2 टमाटर - पतला काट ले,12 कली लहसुन,1 बड़ा चमच्च ओलिव का तेल,1 छोटा चमच्च जीरा पाउडर,1 छोटा चमच्च पैपरिका पाउडर,1/2 छोटा चमच्च हल्दी पाउडर,गरम मसाला पाउडर - चुटकी भर,नमक - स्वाद अनुसार"
3390,"3/4 cup All Purpose Flour (Maida),3/4 cup Whole Wheat Flour,1/2 cup Sunflower Oil,3/4 cup Caster Sugar,1 cup Dates,1/2 cup Cashew nuts - chopped,1-1/2 teaspoon Baking soda,Salt - a pinch"
3391,"1 Bottle gourd (lauki) - peeled and finely chopped,3/4 cup Curd (Dahi / Yogurt),1/2 teaspoon Rock Salt,1/2 teaspoon Sugar,2 tablespoon Sunflower Oil,1/2 teaspoon Mustard seeds,1/2 teaspoon Cumin seeds (Jeera),1/4 teaspoon Asafoetida (hing),2 teaspoon Groundnut powder,2 Dry Red Chillies,3 sprig Coriander (Dhania) Leaves - finely chopped (or mint leaves)"
3392,"1 cup Cabbage (Patta Gobi/ Muttaikose),1 Carrot (Gajjar),1 Onion,2 cups Whole Wheat Flour,1 Green Chilli - finely chopped,1/4 cup Mint Leaves (Pudina) - chopped,1 teaspoon Cumin powder (Jeera),Salt - to taste,Water - to knead,1 tablespoon Sunflower Oil - to knead"
3393,"4 eggs - boil and chop, 1 tsp cumin, 1 bay leaf, 2 long, 3 dry red chillies, 1 tsp turmeric powder, 2 tbsp garam masala powder, 2 tbsp khus khus, 4 tbsp coconut - Tighten, 2 tomatoes - chopped, 1 cup spinach, salt - as per taste, oil, 2 onions - chopped, 1 inch ginger - chopped, 4 cloves garlic - chopped, 2 green chillies - chopped, 10 almonds"
3394,"3 cups Cabbage (Patta Gobi/ Muttaikose) - thinly sliced,1 Green Bell Pepper (Capsicum) - thinly sliced,1 teaspoon Sunflower Oil,1 teaspoon Mustard seeds,1 teaspoon Cumin seeds (Jeera),2 Dry Red Chillies,Asafoetida (hing) - a pinch,1/4 teaspoon Turmeric powder (Haldi),1 teaspoon Coriander Powder (Dhania),1/4 teaspoon Red Chilli powder,Salt - as per your taste,1 teaspoon Lemon juice"
3395,"1.5 cup All Purpose Flour (Maida),1 Whole Egg,2 Extra Virgin Olive Oil,1 pinch Baking powder,1 pinch Salt,1/2 cup Lukewarm Water,Spinach - a half bunch,1 cup Ricotta Cheese,1 tablespoon Garlic - (minced),1 teaspoon Extra Virgin Olive Oil,Salt and Pepper - to taste,1/2 kg Kaddu (Parangikai/ Pumpkin) - diced,1/2 cup Butter,1 pinch Salt,1 teaspoon Sugar,1 teaspoon Black pepper powder,1 pinch Cinnamon Powder (Dalchini),2 tablespoon Fresh cream,1/2 cup Mozzarella cheese - grated,2 tablespoon Ginger Garlic Paste,1/2 cup Mixed vegetables - (Pepper,Black olives - sliced,1/2 cup Mozzarella cheese - grated"
3396,"1 Bottle gourd (lauki),1 tablespoon Cumin seeds (Jeera),1 teaspoon Turmeric powder (Haldi),1 tablespoon Red Chilli powder,1 teaspoon Garam masala powder,1/2 liter Milk - low fat,1/2 teaspoon Sugar,2 tablespoon Sunflower Oil,Salt - to taste,3 sprig Coriander (Dhania) Leaves - finely chopped"
3397,"1 Beetroot - grated,2 cups Whole Wheat Flour,1 teaspoon Cumin powder (Jeera),1 teaspoon Amchur (Dry Mango Powder),1 teaspoon Garam masala powder,1 teaspoon Red Chilli powder,3 Green Chillies,1 teaspoon Ghee,3 teaspoon Sesame seeds (Til seeds),Salt - to taste,Chilled water - as needed"
3398,"1 cup Yellow Moong Dal (Split) - soaked for an hour,2 Green Bell Pepper (Capsicum) - finely chopped,2 Dry Red Chillies - adjust,1 teaspoon Fennel seeds (Saunf),1 teaspoon Mustard seeds,1/2 teaspoon White Urad Dal (Split),1 sprig Curry leaves,1 pinch Asafoetida (hing),Salt - to taste"
3399,"2 tablespoons Sundakkai (Turkey Berries),2 tablespoons Sesame (Gingelly) Oil,1/2 teaspoon Mustard seeds,1/4 teaspoon Methi Seeds (Fenugreek Seeds),2 sprig Curry leaves,1/4 teaspoon Asafoetida (hing),12 Pearl onions (Sambar Onions) - peeled and quartered,6 Brinjal (Baingan / Eggplant) - quartered and soaked in salt water,50 grams Tamarind - soaked in water,2 tablespoons Sambar Powder - homemade,1 cup Water,1 tablespoon Jaggery,Salt - to taste"
3400,"1 कप स्वीट कॉर्न - (मक्का),1/4 कप बेसन,1 प्याज - काट ले,2 हरी मिर्च,1 टहनी कढ़ी पत्ता,4 कली लहसुन,1 छोटा चम्मच कलोंजी के बीज,नमक - स्वाद अनुसार,तेल - प्रयोग अनुसार"
3401,"2 cup Mutton - minced,Sunflower Oil - as required,1 teaspoon Cumin seeds (Jeera),2 Bay leaves (tej patta),1 teaspoon Whole Black Peppercorns,5 Cardamom (Elaichi) Pods/Seeds,3 Onion - finely chopped,2 tablespoons Ginger Garlic Paste,2 Green Chillies - finely chopped,3 Tomatoes - finely chopped,1-1/2 teaspoon Coriander Powder (Dhania) - chopped,1 tablespoon Kashmiri Red Chilli Powder,1/2 teaspoon Cumin powder (Jeera),Salt - as required,1/2 teaspoon Garam masala powder,Mint Leaves (Pudina) - chopped"
3402,"4.5 cup Curd (Dahi / Yogurt) - with full fat,1 1/2 - 2 tablespoons Sugar - adjustable,1/2 teaspoon Cardamom Powder (Elaichi),2 pinch Saffron strands,1/2 teaspoon Milk - warm,7-8 Pistachios - crushed"
3403,"1 cup Bottle gourd (lauki) - peeled and cut into 1/2 inch cubes,1 Carrot (Gajjar) - chopped into 1/2 inch dices,2 Sweet Potato - chopped into 1/2 inch dices,2 Drumstick - cut into 1 inch pieces,4 Green Chilli - slit,1 cup Tamarind Water,2 tablespoons Jaggery,1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Red Chilli powder,2 teaspoons Rice flour,1 tablespoon Sunflower Oil,1/2 teaspoon Mustard seeds,1/4 teaspoon Yellow Fenugreek Seeds,1/4 teaspoon Asafoetida (hing),2 sprig Curry leaves"
3404,"1 cup of chickpea chickpea or chickpeas - washed and soaked, black tea - 1 bag, 1 tomato, 2 green chillies, 2 tablespoons oil, 1 tablespoon ghee - or butter, 1 star anise, 1 bay leaf, 1 inch lentil sugar, 5 fenugreek seeds, 1/4 teaspoon asafoetida, 1/2 teaspoon Kashmiri red chilli powder, 1/2 teaspoon cumin powder, 2 teaspoon coriander powder, 1/2 teaspoon turmeric powder, 1/2 teaspoon turmeric powder, 2 teaspoons gram chana masala powder , 1 onion - chopped, 1 teaspoon garlic - grated, 1 teaspoon ginger - grated, 1 large cardamom, 1/2 teaspoon chaat masala powder, salt - as per taste, coriander - as per use (for garnish ), Kasuri Methi - as per use (for garnish)"
3405,"300 grams Penne pasta,200 grams Spinach - finely chopped,1/2 cup Sweet corn - kernels,1 tablespoon Extra Virgin Olive Oil,1 teaspoon Red Chilli flakes,1 teaspoon Dried oregano,1 tablespoon Extra Virgin Olive Oil,1 Onion - roughly chopped,4 cloves Garlic - finely chopped,2 cups Milk,2 tablespoons Whole Wheat Flour,1 teaspoon Black pepper powder,Salt - as per taste"
3406,"250 grams chicken - chopped, 2 tsp lemon juice, chaat masala powder - as per use, oil - as per use, 5 sprig green coriander, 3 sprig mint, 2 tbsp Hung curd, 2 green chillies, 1/2 tsp Ginger - grated, 4 cloves garlic, salt - to taste"
3407,"500 grams Spinach - washed and chopped, 2 cups tur dal, 1 cup coconut - grated, 5 green chillies, coriander leaves - salt, 1 tablespoon ghee, 1/2 teaspoon mustard, 1/2 teaspoon cumin seeds, 1 / 4 teaspoon asafoetida, 3-4 curry leaves"
3408,"6 teaspoon White Urad Dal (Split),3 teaspoon Chana dal (Bengal Gram Dal),8 teaspoon Coriander (Dhania) Seeds,2 teaspoon Cumin seeds (Jeera),1 teaspoon Methi Seeds (Fenugreek Seeds),2 sprig Curry leaves,20 Dry Red Chillies,1 teaspoon Asafoetida (hing),2 tablespoons Sunflower Oil"
3409,"6 Whole Wheat Brown Bread - whole wheat,3 tablespoons Butter - melted,1/2 cup Sweet corn - kernels,1 Green Bell Pepper (Capsicum) - finely chopped,1 Tomato - finely chopped,1/2 teaspoon Whole Black Peppercorns - crushed,2 teaspoons Dried oregano,1/2 cup Mozzarella cheese - grated,Salt - to taste"
3410,"1/4 cup Basmati rice,1/2 cup Water,1/4 cup Kaddu (Parangikai/ Pumpkin),2 tablespoons Fresh coconut,3 Green Chillies - slit,Salt - as per your taste,1/4 teaspoon Turmeric powder (Haldi),1/4 teaspoon Sugar - optional,1 Bay leaves (tej patta),1 Star anise,2 Cloves (Laung),1 inch Cinnamon Stick (Dalchini),1/2 teaspoon Cumin seeds (Jeera),1 tablespoon Sunflower Oil"
3411,"1/2 Cup Dark chocolate - melted,1 cup Milk,1/4 Cup Caster Sugar,1/4 cup All Purpose Flour (Maida),1/4 Cup Condensed Milk,1-1/2 tablespoon Butter,1/2 Cup Heavy whipping cream,1 teaspoon Instant Coffee Powder,1 tablespoon Chocolate sauce,1 tablespoon Icing Sugar"
