TranslatedRecipeName,TranslatedIngredients
Lemon Poppy Seeds Pancakes recipe,"baking powder,baking soda,lemon zest,poppy seeds,buttermilk,vanilla extract,lemon juice,whole egg,butter,purpose flour"
Beetroot Halwa Recipe (With Vegan Option),"beetroot,pistachios,dates,cardamom,almond milk"
South Indian Style Fish Curry Recipe,"fish fillet,curry leaves,methi seeds,cumin powder"
Almond Butter & Fig Muesli Bar Recipe,"muesli,coconut oil,honey,vanilla extract,dried figs,badam"
Tripura Style Kosoi Bwtwi Recipe - Sauteed Tofu & Green Beans Stir Fry With Garlic,"tofu,black pepper powder,green beans,french beans  chopped"
Namak Para Recipe (Deep Fried Biscuits),"chilled water,purpose flour,ajwain"
Basic Homemade Bread Recipe Using Yeast,"active dry yeast,lukewarm water,purpose flour"
Tomato Quinoa Recipe  - With A South Indian Twist,"quinoa,sambar powder,garam masala powder,sprig curry leaves,pearl onions,cardamom powder,sprig coriander"
Garlic And Pepper Mushroom Stir Fry Recipe,"button mushrooms,black pepper powder,pearl onions,sprig coriander"
Homemade Chocolate Sauce Recipe,"cocoa powder,milk,butter,vanilla extract,purpose flour"
Zafrani Mawa Cake Recipe (Saffron Flavored Milk Cake),"vivatta maida,whole eggs,milk,caster sugar,baking powder,vanilla extract,saffron strands,butter,khoya,cardamom powder"
Chamadumpa Vepudu Recipe - Andhra Style Colocasia Stir Fry,"rice flour,white urad dal,sprig curry leaves,colocasia root,amchur"
Savoury Oatmeal Porridge Recipe,"instant oats,carrot,green beans,green bell pepper"
Mushroom Masala Cheese Omelette Recipe,"whole eggs,button mushrooms,black olives,cheese,salt pepper"
Carrot Methi Jowar Thepla Recipe,"whole wheat flour,carrot,methi leaves,jowar flour"
Roasted Beet Feta Salad Recipe,"beetroot,feta cheese,red wine vinaigrette,honey,extra virgin olive oil,sprig basil leaves,salt pepper"
Karnataka Style Beetroot Palya Recipe,"beetroot,fresh coconut,sambar powder,sprig curry leaves"
Strawberry Mojito Recipe,"strawberries,lemon juice,rum,sprig mint leaves,aerated water"
Lab E Shireen Recipe,"milk,rasgulla,jello,rooh afza sharbat,fresh cream,custard powder,mixed fruits,semiya,khoya"
Welsh Apple Cinnamon Scones Recipe,"whole wheat flour,baking powder,chilled butter,apple,pecans,milk,honey,purpose flour,cinnamon powder,curd,cinnamon powder"
Whole Wheat Lachha Paratha Recipe-Multilayered Layered Indian Flat Bread,whole wheat flour
Oats And Coconut Dosa Recipe,"whole wheat flour,rice flour,oats flour,fresh coconut,jaggery,ginger,curry leaves,whole black peppercorns"
How To Make Preserved Pineapple Recipe,"pineapple,orange liquor"
Asian Carrot Ginger Lentil Soup Recipe,"mixed lentils,celery,fresh red chilli,vegetable stock,dark soy sauce,carrot,green bell pepper,sesame,sesame seeds,spring onion,bulb  greens"
Soft & Delicious Ragi Mudde Recipe - Karnataka Style Ragi Balls,"hot water,ragi flour"
Oats Uppu Kozhukattai Recipe,"rice flour,fresh coconut,white urad dal,curry leaves,instant oats,chana dal"
Paneer Shashlik Sizzler Recipe,"ginger garlic paste,vinegar,soy sauce,tomato ketchup,garam masala powder,black pepper powder,cooked rice,ginger,iceberg lettuce,paneer,red yellow green bell peppers,green peas,cloves,cardamom,inch cinnamon stick,bay leaf"
Karwar Style Surana Bhaji Recipe - Hot and Sour Yam Dry Curry,"tamarind paste,jaggery,elephant yam,methi seeds"
Spiced Apple Crumble Recipe with Greek Yogurt,"apples,butter,sprig extract natural bourbon vanilla,whole wheat flour,butter,nutmeg powder,brown sugar,cinnamon powder,hung curd,instant oats,brown sugar,cinnamon powder"
Rajasthani Ghevar Recipe,"milk,purpose flour"
Karwar Style Kalingana Polo Recipe - Watermelon Rind Dosa,"dosa rice,watermelon rind,fresh coconut,poha"
Tirunelveli Sodhi Kuzhambu Recipe - Mixed Vegetable Stew,"yellow moong dal,drumstick,lemon juice,fresh coconut,sprig curry leaves,potato,green beans,carrot,green peas,cauliflower,pearl onions"
Potato And Cauliflower In Peanut Curry Recipe,"ginger,garam masala powder,cauliflower,potatoes,raw peanuts,bay leaf,gram flour,curd,cumin powder"
Amtekai Gojju Recipe - Indian Hog Plum Curry,"jaggery,fresh coconut,white urad dal,sprig curry leaves,coconut oil,sprig curry leaves,hog plum,chana dal,methi seeds,sesame seeds"
Ribs With Guava Barbecue Sauce Recipe,"lamb ribs,kosher salt,chinese spice powder,black pepper powder,vinegar,lemon juice,guava puree,apple cider vinegar,homemade tomato puree,lemon juice,soy sauce,worcestershire sauce,ginger,clove garlic,black pepper powder,red chilli flakes,cinnamon powder,clove powder,spring onion,bulb  greens"
Makhana Moongphali Ki Kadhi Recipe - Navratri Fasting/Vrat Recipe,"phool makhana,raw peanuts,curd,rajgira flour,sprig coriander,inch cinnamon stick"
Sindhi Dharan Ji Kadhi Recipe - Besan Tikkis In Tomato Gravy,"ginger garlic paste,khuskhus,cloves,gram flour,curd"
Chinese Spiced Noodle Cutlets Recipe,"veg hakka noodles,spring onion greens,black pepper powder,corn flour,carrot,green bell pepper"
Bloomed Potato Cheesy Muffins Recipe,"dried oregano,black pepper powder,dried basil leaves,rosemary,butter,mozzarella cheese,potatoes,purpose flour"
Tomato Noodle Soup recipe,"extra virgin olive oil,black pepper powder,hakka noodles"
Farfalle Pasta Recipe In a Creamy Mushroom Sauce,"del monte farfalle pasta,button mushrooms,dried oregano,cheese spread,milk,basil leaves"
Indian Style Kala Chana Salad Recipe,"black pepper powder,lemon juice,black pepper powder,lemon juice,kala chana"
Stuffed Portobello Mushrooms Recipe With 7 Grain Rice And Sprout Salad,"portobello mushrooms,walnuts,parmesan cheese,wild rice,quinoa,brown rice,bulgur wheat,hulled wheat,sorghum,vegetable stock,butter,green moong sprouts,lemon juice,extra virgin olive oil,fresh orange juice,salt pepper,barley"
"Beetroot, Amla And Pudina Juice Recipe","beetroots,cucumber,black pepper powder,amla,mint leaves,black salt"
Chakkra Pongali Recipe (Andhra Style Sweet Pongal),"rice,yellow moong dal,milk,dessicated coconut,mixed dry fruits,cardamom powder"
Andhra Style Sarva Pindi/Gine Pindi Recipe (Rice Flour and Chana Dal Flatbread Recipe),"rice flour,sprig curry leaves,ginger garlic paste,chana dal,sesame seeds"
Sun Dried Tomato Olive Pasta In Fresh Tomato Sauce Recipe,"spaghetti pasta,sundried tomatoes,kalmatta olives,extra virgin olive oil,salt pepper,dried oregano,red chilli flakes,paprika powder,dry mix herbs,salt pepper,extra virgin olive oil,extra virgin olive oil"
Pudina & Dhaniya Raita Recipe,"sprig curry leaves,curd,sprig coriander,sprig mint leaves"
Bengali Doi Potol Recipe (Pointed Gourd In Thick Yogurt Based Gravy),"ginger,poppy seeds,garam masala powder,mustard oil,pointed gourd,curd,gram flour,bay leaf,cumin powder"
No Onion No Garlic Oriya Style Moong Dalma Recipe,"yellow moong dal,mixed vegetables,panch phoran masala,fresh coconut,ginger,bay leaf,fennel seeds,kalonji,methi seeds"
Kanchipuram Masala Dosa Recipe With Soya Dosa Batter,"idli rice,beetroot,white urad dal,sprig curry leaves,soybeans,white urad dal,methi seeds,chana dal,carrot,chana dal,potatoes,idli dosa podi"
Thakkali Gotsu Recipe | Thakkali Curry | Spicy & Tangy Tomato Gravy,"sprig curry leaves,tamarind,sambar powder,jaggery,sesame,pearl onions"
Raw Mango Raita Recipe,"sprig curry leaves,mango,curd,cumin powder"
Dal Fry Recipe,"lemon wedges,kashmiri red chilli powder,chana dal,kasuri methi,fennel seeds"
Himachali Mutton Rara Recipe,"mutton,mustard oil,garlic,ginger,lemon juice,nutmeg,mace,cloves cloves,inch cinnamon stick,bay leaf,cardamom"
Raw Banana Bajji Recipe- Balekai Bajji | Vazhakkai Bajji,"raw banana,gram flour"
Tofu Masala Rice Recipe (Tofu Pulao),"rice,ginger garlic paste,garam masala powder,tofu,bay leaf,cinnamon stick,cloves,red yellow green bell pepper"
Mango Iced Tea Recipe,"tea bags,lemon juice,lemon,ice cubes,mango,mint leaves,mango"
Thandai Phirni Recipe - A Delicious Indian Rice Dessert,"milk,rice,thandai powder,pistachios,saffron strands,cashew nuts,poppy seeds,melon seeds,black pepper powder,cardamom powder,badam,badam,fennel seeds,cardamom"
Whole Wheat Vegetable Chilla (Cheela) Recipe,"whole wheat flour,green bell pepper"
Layered Paneer Butter Masala Biryani Recipe,"rice,star anise,whole black pepper corns,fried onions,fresh cream,garam masala powder,honey,cashew nuts,cardamom,cloves,inch cinnamon stick,bay leaf,sprig coriander,sprig mint leaves,paneer,cardamom powder,cumin powder,kasuri methi"
Spicy Aloo Naan Recipe,"active dry yeast,garam masala powder,purpose flour,curd,potatoes,amchur"
Carrot Ginger Juice Recipe,"lemon juice,honey,carrots"
Bullseye On Toast Recipe,"whole eggs,whole wheat brown bread,black pepper powder,butter"
Noodle Soup Recipe with Vegetables,"hakka noodles,clove garlic,stalks celery,dark soy sauce,rice vinegar,red chilli sauce,honey,vegetable stock,coconut milk,carrot,green beans,thai red chilli,sprig coriander"
Chole Pindi Recipe (Spicy Chickpea Curry),"homemade tomato puree,garam masala powder,lemon,kala chana,cardamom,cinnamon stick,anardana powder,amchur"
Traditional Amritsari Chole Recipe | Punjabi Chole Masala,"tea bags,whole black pepper corns,kabuli chana,amchur,black salt,inch cinnamon stick,cloves,brown cardamom,methi seeds,cumin,dried anardana seeds"
Bengali Kosha Mangsho Recipe-Slow Cooked Mutton Curry,"garam masala powder,lemon juice,mutton,whole black peppercorns,potatoes,cloves,cumin powder,cumin powder,curd,cinnamon stick,cardamom,bay leaves"
Besan And Green Pea Cheela Recipe,"ginger,garam masala powder,gram flour,green peas,ajwain,fennel seeds,sesame seeds"
Palak Pappu Recipe - Andhra Style Palakura Pappu - Dal Palak,"white urad dal,sprig curry leaves,arhar dal,spinach leaves"
Tok Dal Recipe (Bengali Style Masoor Dal),"mustard oil,panch phoran masala,mango,masoor dal,bay leaf"
Smoky Eggplant Soup Recipe,"aubergine,vegetable stock,black pepper powder,cumin powder,badam"
Chettinad Sweet Paniyaram Recipe,"idli dosa batter,rice rava,jaggery,fresh coconut,cardamom powder"
Tofu & Veggie Coleslaw Sandwich Recipe,"whole wheat brown bread,tofu,soy sauce,honey,red chilli sauce,cucumber,mustard sauce,lemon juice,salt pepper,sesame seeds,cabbage,carrot,sprig coriander,hung curd"
Gujarati Kobi Marcha No Sambharo Recipe - Cabbage & Bell Pepper Stir Fry,"lemon juice,cabbage,green bell pepper,methi seeds"
Tandoori Paneer Tikka Skillet Pizza Recipe,"whole wheat flour,extra virgin olive oil,active dry yeast,lukewarm water,coal,mozzarella cheese,homemade tomato puree,saffron strands,chaat masala powder,garam masala powder,paneer,hung curd,sprig mint leaves,fennel seeds,ajwain,cumin powder,black salt"
Mixed Vegetable Idli Upma Recipe,"idli,white urad dal,curry leaves,pearl onions,green bell pepper,carrot,green beans,sesame,mint leaves"
Chenai Kizhangu Poricha Kootu Recipe (Tamil Nadu Style Yam Cooked in Coconut Gravy),"yellow moong dal,fresh coconut,whole black peppercorns,tamarind water,elephant yam,chana dal,fennel seeds,bay leaf,cloves,inch cinnamon stick"
Sindhi Dal Pakwan Recipe - A Delicious Sindhi Breakfast,"garam masala powder,sprig curry leaves,chana dal,amchur"
Thai Chicken Massaman Curry Recipe,"black pepper corns,lemon grass,chicken breasts,coconut milk,palm sugar,tamarind paste,fish sauce,fennel seeds,inch cinnamon stick,cardamom,potato,carrot"
Carrots & Sweet Potato Stuffed Paratha Recipe,"whole wheat flour,sweet potatoes,carrots,cumin powder"
Vazhaipoo Paruppu Usili Recipe - Banana Flower Paruppu Usili,"sprig curry leaves,white urad dal,banana flower,curd,sesame,arhar dal,sesame,ssp asafoetida"
Sticky Date Pudding With Butterscotch Sauce Recipe,"dates,milk,baking soda,butter,fresh cream,vanilla extract,walnuts,brown sugar,cinnamon powder,purpose flour,butter,brown sugar"
Spicy Quinoa Upma Recipe,"quinoa,sprig curry leaves,ginger,extra virgin olive oil,green peas,sprig coriander"
Andhra Dondakaya Ulli Kura Karam Recipe | Andhra Kovakkai Fry,"sprig curry leaves,white urad dal,tamarind,tindora,chana dal,sesame seeds,methi seeds,roasted peanuts"
Achari Paneer Masala Recipe,"whole cashews,mustard oil,kashmiri dry red chillies,paneer,green bell pepper,fennel seeds,methi seeds,kalonji"
Steamed Cauliflower Curry Recipe (Healthy Stir Fry),"sprig curry leaves,black pepper powder,cauliflower"
Matar Kachori Recipe,"whole wheat flour,garam masala powder,chaat masala powder,mustard oil,green peas,amchur,fennel seeds,kalonji,gram flour"
Murungai Keerai Sambar Recipe - Drumstick Leaves Sambar,"tamarind water,sambar powder,arhar dal,drumstick leaves,mooli,pearl onions,ssp asafoetida"
Methi Turai Ki Sabzi (Fenugreek Leaves And Ridge Gourd Stir Fry),"lemon,garam masala powder,ridge gourd,methi leaves"
No Bake Cocoa Oats Cookies Recipe,"peanut butter,honey,cocoa powder,nutella spread,milk,instant oats"
Chettinad Vegetable Pulao Recipe,"basmati rice,whole black peppercorns,pearl onions,bay leaves,carrot,green beans,potatoes,cloves,inch cinnamon stick,fennel seeds,green peas,mint leaves"
Dry Fruits Suzhiyam (Boorelu) With Black Rice Recipe,"white urad dal,black rice,idli rice,dry fruits,mixed nuts,sooji,cardamom powder"
Eggless Double Chocolate Sugar Bite Cookies Recipe,"dark chocolate,chocolate chips,baking powder,cocoa powder,butter,milk,purpose flour"
Roasted Garlic Tomato Chutney Recipe,"garlic,tamarind,sprig curry leaves"
Spinach Dal (Recipe In Hindi),"arhar dal,mustard,fenugreek seeds,chickpea lentils,curry leaves,small asafoetida,tamarind paste,spinach,garlic,oil"
Ridge Gourd Tambli Recipe - Spicy Ridge Gourd in Coconut Curry,"sprig curry leaves,fresh coconut,ridge gourd,curd"
Attukal Mochai Kuzhambu Recipe-Mutton Leg & Field Beans Gravy,"mutton legs,fresh coconut,poppy seeds,tamarind paste,gingelly oil,curry leaves,avarekai,small brinjal,roasted gram dal,fennel seeds,inch cinnamon stick,cloves,bay leaf"
Peshawari Karahi Gosht Recipe,"mutton,garam masala powder,curd,sprig coriander"
Tofu Stir Fry Curry Recipe,"tofu,mixed vegetables,red chilli paste,light soy sauce,rice wine vinegar,honey,tomato ketchup,corn flour,green bell pepper"
Bajra & Dal Cheela Recipe (Spicy Pearl Millet  & Lentil Crepe Recipe),"green moong dal,chana dal,black urad dal,bajra"
Watermelon Panzanella Salad Recipe,"baguette,garlic powder,extra virgin olive oil,watermelon,cucumber,red onion,spinach,balsamic vinegar,black olives,salt pepper"
 Kela Besani Sabzi Recipe,"raw banana,spoon gram flour,asafetida,garam masala powder,yogurt,oil - coriander,green chili,oil"
Amlechi Uddamethi Recipe - Goan Raw Mango Curry,"jaggery,tamarind water,fresh coconut,whole black peppercorns,white urad dal,mango,methi seeds"
Mozzarella Basil Sandwiches Recipe,"panini bread,mozzarella cheese,basil leaves,walnuts,extra virgin olive oil"
Green Chutney Aloo Chaat Recipe,"lemon,peanuts,garam masala powder,fresh pomegranate fruit kernels,sev,chaat masala powder,potatoes,mint leaves,cumin,cumin powder"
Dhaba Style Dal Fry Recipe (Dhaba Style Dal Fry),"rye,cassia,long,large cardamom,star anees,elaichi,ginger garlic paste,sprig green coriander,arhar dal,chana dal,masoor dal,white urad dal,yellow moong dal,"
Cucumber Tomato Corn Peanut Salad With Lemon Recipe,"cucumber,sweet corn,lemon juice,roasted peanuts,sprig coriander"
Bharli Bhendi Recipe - Maharashtrian Style Stuffed Bhindi,"fresh coconut,poppy seeds,kashmiri red chilli powder,tamarind,bhindi"
Cucumber Ginger Lemonade Recipe,"cucumber - chopped de,lemon juice,honey,mint leaves,aerated water"
Pyaz Wali Bhindi Recipe | Bhindi Do Pyaza - Okra Onion Stir Fry,"mustard oil,bhindi,ajwain,inch cinnamon stick,bay leaf,amchur"
Achari Lachha Paratha Recipe-Spicy Indian Style Flaky Bread,"whole wheat flour,punjabi style mango pickle"
Whole Wheat Strawberry Banana Muffins Recipe,"gram whole wheat flour,gram caster sugar,nutmeg powder,baking powder,baking soda,whole eggs,milk,vanilla extract,strawberries,ripe bananas"
Sindhi Pakwan Recipe - Crisp Delicious Puri,"whole wheat flour,purpose flour,ajwain"
Multa Black Arabic Recipe (Arabic Gravy Steele),"colocasia root,sprig coriander"
Andhra Style Usirikaya Pachadi Recipe (Indian Gooseberries Chutney),amla
Lemon Pudina Curry Leaf Shikanji Recipe,"curry leaves,lemons,jaggery,mint leaves,black salt"
Kashmiri Style Mutton Gogji Syun Recipe - Mutton & Turnip,"mutton,turnips,mustard oil,fennel seeds"
Cheesy Chinese Bhel Recipe,"hakka noodles,britannia cheese spread,green beans,soy sauce,red chilli sauce,red chilli sauce,britannia cheese block,spring onion greens,mint leaves,roasted peanuts,green bell pepper,carrot,cabbage,sweet chutney,date  tamarind"
Whole Wheat Spinach Paratha Recipe,"whole wheat flour,spinach leaves,ajwain"
Healthy Snack Bowl Recipe,"coconut oil,corn kernels,peanut butter,soy milk,cocoa powder,maple syrup,apple,raisins,walnuts"
Sweet Spinach Whole Wheat Muffin Recipe,"whole wheat flour,baking soda,baking powder,spinach,ripe bananas,milk,extra virgin olive oil,honey,whole egg,vanilla extract,pistachios,cinnamon powder"
Crunchy Carrots In Hot Dogs Buns Recipe,"sprig spring onion greens,extra virgin olive oil,hot dog bread,lemon juice,fresh orange juice,black pepper powder,extra virgin olive oil,lemon juice,carrots,orange zest,hung curd,mint leaves"
Chukku Kaapi Recipe - Dry Ginger Coffee,"dry ginger powder,black pepper powder,instant coffee powder,jaggery,tulsi,cardamom"
Coconut Jaggery Burfi Recipe,"fresh coconut,jaggery,cardamom powder"
Makki Ki Puri Recipe (Maize Flour Fried Indian Bread),"whole wheat flour,makki ka atta,ajwain"
Vegetable Chops Recipe,"beetroot,sweet corn,ginger,corn flour,whole wheat bread crumbs,carrots,potatoes,green peas,cumin powder"
Goli am Recipe - Mangalorean Vada Recipe,"rice flour,ginger,sprig curry leaves,baking powder,fresh coconut,purpose flour,gram flour,curd"
 Andhra Style Peanut Chutney Recipe,"peanuts,oil,rye,white urad dal,sprig curry leaves"
Sali Par Eedu Recipe - Parsi Breakfast Eggs On Fried Potato,"whole egg,black pepper powder,potato"
 Jeera Aloo Sabzi (Recipe In Hindi),"potatoes,green chilies,sprig curry leaves,oil"
Moongphali Bhindi Recipe - Okra and Peanut Stir Fry,"bhindi,roasted peanuts,amchur"
Murgh Musallam Recipe - Masala Roasted Chicken,"chicken drumstick,cashew nuts,black pepper powder,nutmeg,curd,cardamom,cloves,black cardamom,cardamom,mace"
Vankaya Gasagasala Kura | Andhra Style Eggplant Poppy Seeds Curry Recipe,"poppy seeds,tamarind,jaggery,methi seeds,brinjal,methi seeds"
Carrots And Coriander Fritters Recipe,"carrots,gram flour"
Kathiyawadi Shaak Recipe,"garam masala powder,small green brinjal,roasted peanuts,curd,cumin powder"
Chamomile Tea Recipe,"dried chamomile,honey"
Creamy Sweet Corn And Jalapeno Dip Recipe,"sweet corn,walnuts,pickled jalapenos,parmesan cheese,extra virgin olive oil,parsley leaves"
Bangkok Coconut Curry Noodle Bowl Recipe,"coriander seeds,stalks lemongrass,green zucchini,broccoli,green zucchini,coconut milk,sprig basil leaves,palm jaggery,rice noodles,thai red chilli,spring onion,bulb  greens,carrot,sesame,stalks spring onion,bulb  greens"
Dill Leaves & Parmesan Dip Recipe,"dill leaves,cashew nuts,melon seeds,lemon juice,feta cheese,black pepper powder,parmesan cheese,curd"
Healthy Eggless Date Squares Recipe,"whole wheat flour,baking powder,cashew nuts,dates,milk,custard powder,purpose flour,cardamom powder,brown sugar"
Dragon Fruit and Rose Water Popsicle Recipe,"rose water,honey,pink flesh dragon fruit"
Granola Yogurt Parfait Recipe with Fresh Kiwi & Pomegranates,"vanilla extract,kiwi,granola,walnuts,honey,hung curd,anardana powder"
High Fiber Oat And Orange Coconut Parfait Recipe,"multigrain digestive biscuits,vanilla extract,fresh coconut,fresh pomegranate fruit kernels,orange,honey,instant oats,hung curd"
Dosakaya Pappu Recipe-Andhra Style Yellow Cucumber Dal,"tamarind water,mangalorean cucumber,sprig curry leaves,arhar dal"
Manganem Recipe - Goan Style Chana Dal Payasam,"jaggery,coconut milk,cashew nuts,chana dal,sabudana"
Bhogichi Bhaji Recipe (Bhogichi Bhaji Recipe),"potato,carrots,eggplants,green gram,avrekalu,plum,large spoon peanut powder,sesame powder,oil,goda masala,mustard,coriander leaves,lemon juice"
Rose Flavoured Golden Almond Milk Recipe - Badam Doodh,"milk,rose water,cardamom,badam"
Dal Tadka Recipe - Dal Tadka Recipe Flavored With Lemon And Coriander,"yellow moong dal,butter,bay leaf,sprigs coriander,lemon juice"
Chicken Crepe Lasagne Recipe,"whole wheat flour,boneless chicken,black pepper powder,dried oregano,red chilli flakes,homemade pizza pasta sauce,cheese,sooji,curd,red yellow green bell peppers,spinach leaves"
Drumstick Spinach Fry With Moong Dal Recipe,"yellow moong dal,sambar powder,fresh coconut,sprig curry leaves,drumstick leaves"
Kumro Patai Ilish Paturi Recipe - Hilsa Fish In Pumpkin Leaves,"hilsa fish,pumpkin leaves,banana leaf,yellow mustard seeds,poppy seeds,mustard oil"
Chocolate Coconut Pistachio Bites Recipe (Paleo & Vegan),"pistachios,dessicated coconut,cocoa powder,almond butter,maple syrup,vanilla extract"
Spinach Watermelon Salad Recipe With Walnuts,"watermelon,black grapes,feta cheese,walnuts,extra virgin olive oil,lemon juice,honey,black pepper powder,spinach leaves"
 Dondakkai Puli Curry Recipe,"tindora,black urad dal,tamarind paste,oil,oil,mustard"
Corn Stuffed Paratha Recipe,"whole wheat flour,sweet corn,mango pickle,potato"
Vietnamese Style Vegetarian Spring Rolls Recipe With Peanut Dipping Sauce,"rice paper rolls,cucumber,tofu,soy sauce,red chilli flakes,salt pepper,peanut butter,soy sauce,red chilli sauce,lemon juice,red chilli flakes,mint leaves,carrot,red bell pepper,roasted peanuts"
Coconut Coconut Chili Powder Recipe - Mr. Coconut Chutney Bodi,"white urad dal,tamarind,dry coconut,chana dal,sesame seeds"
 Kerala Style Beetroot Pachadi (Recipe In Hindi),"beetroot,curd,turmeric,coconut,mustard,small spoon cumin seeds,oil,mustard,curry leaves,red chili"
Okra Idli Recipe (Ladyfinger Idli),"idli rice,white urad dal,methi seeds,bhindi"
Mango Orange Recipe | Want semolina lighter | Mango Shir,"cashew nuts,cashew nuts,sooji,mango,cardamom powder"
Thai Roasted Vegetables with Peanut Coconut Sauce Recipe,"sweet potato,green zucchini,coconut oil,fennel powder,salt pepper,peanut butter,coconut milk,soy sauce,red chilli flakes,lemon juice,lemon grass,basil leaves,carrot,potato,cumin powder,brown sugar"
Thai Coconut Garlic Rice Recipe,"coconut oil,rice,coconut milk,coconut oil,sprig coriander,dry coconut"
Sakkare Achhu Recipe (Festive Sugar Figurines),"milk,food color,curd"
Soya Pilaf / Pulav Recipe,"basmati rice,ginger garlic paste,whole black peppercorns,star anise,lemon,kewra water,caramelized onions,cashew nuts,raisins,soy chunks,potatoes,cardamom,bay leaves,cloves,inch cinnamon stick,ajwain,mint leaves"
Vegetarian Grilled Gyros Recipe,"mini pita breads,tzatziki,green zucchini,yellow zucchini,button mushrooms,red onion,cucumber,extra virgin olive oil,lemon juice,black pepper powder,brinjal,green bell pepper,red bell pepper,yellow bell pepper"
Homemade Healthy Sour Cream Recipe,"fresh cream,lemon juice,hung curd"
Buttered Mashed Potatoes - For Babies Over 7 months,"butter,black pepper powder,potato"
Besan Aur Pyaz Ka Cheela Recipe - Roz Ka Khana With Figaro Olive Oil,"figaro pure olive oil,gram flour,fennel seeds,green chutney,coriander  mint"
Vazhaithandu Mor Kootu Recipe (Tamil Nadu Style Banana Stem Recipe),"banana stem,buttermilk,fresh coconut,rice flour,coconut oil,white urad dal,sprig curry leaves,curd"
Restaurant Style Chicken 65 Recipe,"chicken breasts,black pepper powder,lemon juice,vinegar,sprig curry leaves,gram flour,curd"
Spicy Mexican Layered Chilli Rice Recipe,"homemade tomato puree,tabasco original,extra virgin olive oil,cooked rice,butter,red chilli flakes,rajma,cumin powder,mixed herbs"
Millet Pea Khichdi (Gluten Free Breakfast Recipe),"yellow moong dal,ginger garlic paste,garam masala powder,lemon,bajra flour,potato,carrot,green peas"
 Tomato Garlic Chutney (Recipe In Hindi),"green chilies,red chili powder,mustard,oil"
Mango Sago Kheer Recipe - Sabudana Kheer With Mangoes,"nylon sabakki,milk,cardamom powder,mango,badam"
Almond Elachi Kulfi Recipe,"milk,saffron strands,pistachios,badam,cardamom powder"
Turmeric Amla Ginger Juice - Indonesian Jamu Recipe | Anti Inflammatory Health Tonic,"fresh turmeric root,ginger,honey,black pepper powder,amla"
Shorshe Maach Recipe - Bengali Style Mustard Fish Curry,"mustard oil,seer fish,yellow mustard seeds,lemon wedges,sprig coriander,sprig coriander"
Nagori Puri Recipe (Semolina Puri),"whole wheat flour,sooji"
Sweet Boondi / Meethi Boondi Recipe,"baking soda,yellow food colour,orange color,gram flour"
Sri Lankan Egg Curry Recipe,"whole eggs - hard,ginger garlic paste,sprig curry leaves,coconut milk,curry powder,whole black peppercorns,curry leaves,curry leaves,fennel seeds,cloves,cardamom,inch cinnamon stick"
Coorg Style Kulae Puttu Recipe- Puttu with Jackfruit & Jaggery,"broken raw rice,fresh coconut,jaggery,banana leaf,jackfruit ripe,cardamom"
Whole Moong Dal Vada Recipe,"green moong dal,chana dal"
Atar Payesh Recipe (Sitaphal Kheer),"milk,heavy whipping cream,custard apple,cardamom powder"
Bengali Style Sheem Poshto Recipe - Flat Beans In Poppy Seeds,"flat green beans,mustard oil,poppy seeds,potatoes,kalonji"
Tomato Basil Risotto Recipe With Grilled Chicken,"arborio rice,homemade tomato puree,extra virgin olive oil,garlic,basil leaves,vegetable stock,ginger,garlic,lemon juice,garam masala powder,kashmiri red chilli powder,kashmiri red chilli powder,kashmiri red chilli powder,curd"
Kaleji Ka Faal Recipe-Mutton Liver Pepper Fry,"mutton liver,ginger garlic paste,black pepper powder"
Besan Barfi Recipe,"caster sugar,mixed nuts,gram flour,khoya,cardamom powder"
Crispy Palak Pakora Recipe - Monsoon Snack,"chaat masala powder,spinach leaves,gram flour,ajwain"
Bengali Style Chingri Posto Recipe (Prawns Cooked In Poppy Seed Gravy),"prawns,poppy seeds,mustard oil,potatoes"
Grape Wright Recipe,"green seedless grapes,curd,cumin powder,mint leaves"
Mexican Style Vegetable Fajita Recipe,"extra virgin olive oil,button mushrooms,paprika powder,corn flour tortilla,green bell pepper,red bell pepper,yellow bell pepper,cumin powder"
Awadhi Moong Dal Ki Goli Recipe - Lentil Dumplings In Tomato Gravy,"ginger garlic paste,garam masala powder,garlic,ginger,green moong dal,anardana powder"
High Protein Chickpea Potato Hash Brown Recipe,"black pepper powder,butter,lemon juice,whole egg,whole wheat bread crumbs,potatoes,kabuli chana,cumin powder"
Mughalai Shahi Kaju Aloo Ki Sabzi Recipe,"cashew nuts,ginger,garlic,garam masala powder,milk,potatoes,bay leaf,curd"
Kasuri Malai Murgh Tikka Recipe,"chicken,fresh cream,cashew nuts,whole black peppercorns,cauliflower,curd,kasuri methi,ajwain,cardamom,black cardamom,cloves,inch cinnamon stick,bay leaf,mace"
Baked Penne Pasta With Roasted Peppers In Marinara Sauce Recipe,"penne pasta,extra virgin olive oil,dried oregano,stalks parsley leaves,mozzarella cheese,green bell pepper,red bell pepper"
Kodava Ellu Pajji Recipe - Sesame & Tamarind Chutney,"fresh coconut,tamarind,jaggery,sprig curry leaves,coconut oil,sesame seeds,pearl onions"
Zucchini Pancake Recipe With Tomato Salsa,"green zucchini,oats flour,whole wheat flour,baking powder,salt pepper,tomato salsa,curd"
